"site","date","year","DOY","mo","day","tmean","tmin","tmax","precip"
"concord",1949-01-01,1949,"001","01","01",274.110198974609,272.767700195312,275.252349853516,0.164159998297691
"concord",1949-01-02,1949,"002","01","02",274.525970458984,273.737609863281,275.188018798828,0.106919996440411
"concord",1949-01-03,1949,"003","01","03",274.310424804688,272.181762695312,277.086395263672,0
"concord",1949-01-04,1949,"004","01","04",275.483520507812,272.906433105469,278.063781738281,9.16919994354248
"concord",1949-01-05,1949,"005","01","05",275.954620361328,272.164703369141,281.810638427734,4.28327989578247
"concord",1949-01-06,1949,"006","01","06",272.119934082031,265.520355224609,281.861480712891,4.5208797454834
"concord",1949-01-07,1949,"007","01","07",275.703308105469,270.1923828125,280.449310302734,0.832679986953735
"concord",1949-01-08,1949,"008","01","08",276.901794433594,273.545196533203,280.752502441406,0.357480019330978
"concord",1949-01-09,1949,"009","01","09",276.752075195312,274.237915039062,279.526733398438,0
"concord",1949-01-10,1949,"010","01","10",273.197814941406,270.755126953125,279.469696044922,0
"concord",1949-01-11,1949,"011","01","11",272.393432617188,268.093078613281,276.381683349609,0.303479999303818
"concord",1949-01-12,1949,"012","01","12",273.358276367188,267.741668701172,276.425476074219,0.101519994437695
"concord",1949-01-13,1949,"013","01","13",270.241943359375,268.130676269531,274.858337402344,1.2052800655365
"concord",1949-01-14,1949,"014","01","14",274.7861328125,267.128662109375,277.738067626953,1.1340000629425
"concord",1949-01-15,1949,"015","01","15",269.08154296875,265.833465576172,275.794342041016,0.281879991292953
"concord",1949-01-16,1949,"016","01","16",265.380523681641,258.438446044922,272.274810791016,0.100440002977848
"concord",1949-01-17,1949,"017","01","17",272.710693359375,266.792053222656,276.070007324219,0.0367200002074242
"concord",1949-01-18,1949,"018","01","18",273.972076416016,272.496673583984,275.679382324219,0
"concord",1949-01-19,1949,"019","01","19",276.4658203125,270.759216308594,281.855987548828,0
"concord",1949-01-20,1949,"020","01","20",274.892761230469,271.786804199219,280.627044677734,2.84687995910645
"concord",1949-01-21,1949,"021","01","21",270.756805419922,268.614227294922,274.854309082031,0.650160014629364
"concord",1949-01-22,1949,"022","01","22",276.525695800781,265.583526611328,283.139495849609,48.4952430725098
"concord",1949-01-23,1949,"023","01","23",273.936309814453,271.608032226562,275.861755371094,6.80076026916504
"concord",1949-01-24,1949,"024","01","24",273.175628662109,268.020416259766,278.973510742188,2.43432021141052
"concord",1949-01-25,1949,"025","01","25",276.501708984375,272.324676513672,280.335906982422,2.37275981903076
"concord",1949-01-26,1949,"026","01","26",273.454742431641,268.489776611328,279.385406494141,0.197639986872673
"concord",1949-01-27,1949,"027","01","27",271.624176025391,269.590484619141,275.55908203125,13.0031995773315
"concord",1949-01-28,1949,"028","01","28",274.663635253906,266.899780273438,281.113983154297,3.87935996055603
"concord",1949-01-29,1949,"029","01","29",274.278289794922,268.138244628906,280.884399414062,0.6285600066185
"concord",1949-01-30,1949,"030","01","30",268.107147216797,264.108703613281,273.179229736328,0
"concord",1949-01-31,1949,"031","01","31",269.743347167969,266.901123046875,274.653198242188,0
"concord",1949-02-01,1949,"032","02","01",272.229858398438,270.631256103516,273.636260986328,0
"concord",1949-02-02,1949,"033","02","02",273.004272460938,269.543548583984,276.253234863281,1.16207993030548
"concord",1949-02-03,1949,"034","02","03",267.798461914062,263.426239013672,275.267395019531,0.652320027351379
"concord",1949-02-04,1949,"035","02","04",270.871398925781,266.229614257812,276.271240234375,0.8542799949646
"concord",1949-02-05,1949,"036","02","05",270.415008544922,267.608154296875,273.888397216797,0.424439996480942
"concord",1949-02-06,1949,"037","02","06",269.795501708984,267.518188476562,273.135620117188,2.50992012023926
"concord",1949-02-07,1949,"038","02","07",269.337615966797,262.854034423828,275.646820068359,2.99052000045776
"concord",1949-02-08,1949,"039","02","08",273.785400390625,268.762817382812,280.071929931641,0.376920014619827
"concord",1949-02-09,1949,"040","02","09",277.5361328125,275.430145263672,280.55908203125,0
"concord",1949-02-10,1949,"041","02","10",273.210815429688,269.821563720703,277.414489746094,0.0874800011515617
"concord",1949-02-11,1949,"042","02","11",267.279815673828,262.922332763672,276.555694580078,0.219239994883537
"concord",1949-02-12,1949,"043","02","12",267.377990722656,260.342864990234,279.462188720703,0.100440002977848
"concord",1949-02-13,1949,"044","02","13",274.830444335938,270.979736328125,281.048583984375,0
"concord",1949-02-14,1949,"045","02","14",277.757843017578,276.028259277344,280.405639648438,0
"concord",1949-02-15,1949,"046","02","15",279.385040283203,272.690338134766,289.572601318359,14.8899602890015
"concord",1949-02-16,1949,"047","02","16",277.239807128906,271.394073486328,289.725982666016,9.68003940582275
"concord",1949-02-17,1949,"048","02","17",273.079956054688,267.318054199219,276.658386230469,7.32023954391479
"concord",1949-02-18,1949,"049","02","18",269.677062988281,262.927337646484,280.220123291016,0.523799955844879
"concord",1949-02-19,1949,"050","02","19",278.259094238281,272.164367675781,283.627838134766,0
"concord",1949-02-20,1949,"051","02","20",276.123046875,271.521728515625,280.552062988281,7.92287969589233
"concord",1949-02-21,1949,"052","02","21",271.830322265625,267.148864746094,280.609222412109,1.13183999061584
"concord",1949-02-22,1949,"053","02","22",272.720611572266,267.824737548828,281.199157714844,0.566999971866608
"concord",1949-02-23,1949,"054","02","23",276.804504394531,273.521575927734,278.214538574219,28.2668399810791
"concord",1949-02-24,1949,"055","02","24",275.322082519531,272.362548828125,279.465423583984,3.50568008422852
"concord",1949-02-25,1949,"056","02","25",269.523284912109,265.727416992188,281.263580322266,0.255960017442703
"concord",1949-02-26,1949,"057","02","26",272.749145507812,265.089050292969,278.199920654297,0.226799994707108
"concord",1949-02-27,1949,"058","02","27",271.5380859375,265.837799072266,275.929992675781,0
"concord",1949-02-28,1949,"059","02","28",272.536956787109,268.9765625,276.856414794922,0.816480040550232
"concord",1949-03-01,1949,"060","03","01",274.103485107422,271.067779541016,276.488555908203,3.25404000282288
"concord",1949-03-02,1949,"061","03","02",272.848480224609,269.872497558594,276.410583496094,1.24847996234894
"concord",1949-03-03,1949,"062","03","03",276.955352783203,271.012725830078,281.571502685547,34.3450813293457
"concord",1949-03-04,1949,"063","03","04",272.099487304688,266.050170898438,277.572631835938,4.90643978118896
"concord",1949-03-05,1949,"064","03","05",276.117156982422,270.990905761719,282.384796142578,0.249479994177818
"concord",1949-03-06,1949,"065","03","06",279.22900390625,277.647796630859,281.6357421875,0.0151200005784631
"concord",1949-03-07,1949,"066","03","07",276.321411132812,273.518585205078,279.442474365234,0.00215999991632998
"concord",1949-03-08,1949,"067","03","08",272.721496582031,265.029327392578,279.387603759766,0
