"site","date","year","DOY","mo","day","tmean","tmin","tmax","precip"
"gothic",1949-01-01,1949,"001","01","01",263.535186767578,259.927703857422,267.097686767578,0.896399974822998
"gothic",1949-01-02,1949,"002","01","02",261.970977783203,257.390411376953,265.865783691406,2.14163994789124
"gothic",1949-01-03,1949,"003","01","03",253.207916259766,241.241775512695,265.826293945312,0.0388799980282784
"gothic",1949-01-04,1949,"004","01","04",250.693511962891,241.078491210938,262.269897460938,1.04328000545502
"gothic",1949-01-05,1949,"005","01","05",259.450866699219,253.884704589844,265.930633544922,3.25511980056763
"gothic",1949-01-06,1949,"006","01","06",258.522430419922,251.430358886719,267.672546386719,0.702000021934509
"gothic",1949-01-07,1949,"007","01","07",258.394561767578,245.704925537109,271.719329833984,0
"gothic",1949-01-08,1949,"008","01","08",260.561798095703,255.38720703125,268.207702636719,0
"gothic",1949-01-09,1949,"009","01","09",262.803314208984,259.566009521484,267.937377929688,0
"gothic",1949-01-10,1949,"010","01","10",258.117828369141,247.148666381836,270.445037841797,0
"gothic",1949-01-11,1949,"011","01","11",258.060943603516,248.641677856445,269.353057861328,0
"gothic",1949-01-12,1949,"012","01","12",262.053283691406,247.477890014648,275.622985839844,0
"gothic",1949-01-13,1949,"013","01","13",263.578186035156,255.024978637695,270.807495117188,0
"gothic",1949-01-14,1949,"014","01","14",266.614868164062,264.374877929688,268.208648681641,0
"gothic",1949-01-15,1949,"015","01","15",258.501525878906,248.733459472656,270.134368896484,0
"gothic",1949-01-16,1949,"016","01","16",256.291778564453,249.650817871094,265.758758544922,0.288359999656677
"gothic",1949-01-17,1949,"017","01","17",256.359436035156,242.513336181641,270.447570800781,0.211679995059967
"gothic",1949-01-18,1949,"018","01","18",257.977081298828,252.220474243164,265.719299316406,1.43747997283936
"gothic",1949-01-19,1949,"019","01","19",256.040802001953,248.896179199219,265.929809570312,0.924480020999908
"gothic",1949-01-20,1949,"020","01","20",258.277740478516,244.560501098633,274.516784667969,0.00971999950706959
"gothic",1949-01-21,1949,"021","01","21",259.394287109375,250.983001708984,269.944305419922,0
"gothic",1949-01-22,1949,"022","01","22",263.231964111328,255.789764404297,273.392608642578,0
"gothic",1949-01-23,1949,"023","01","23",257.488800048828,244.399322509766,272.251770019531,0
"gothic",1949-01-24,1949,"024","01","24",262.929382324219,259.743133544922,267.095184326172,21.987720489502
"gothic",1949-01-25,1949,"025","01","25",261.942993164062,254.618072509766,271.177154541016,9.23291969299316
"gothic",1949-01-26,1949,"026","01","26",260.401000976562,247.679763793945,270.354187011719,0.975240051746368
"gothic",1949-01-27,1949,"027","01","27",259.760437011719,254.00048828125,266.989074707031,0
"gothic",1949-01-28,1949,"028","01","28",258.432403564453,252.766036987305,264.799774169922,0
"gothic",1949-01-29,1949,"029","01","29",248.648284912109,230.210372924805,266.944427490234,0
"gothic",1949-01-30,1949,"030","01","30",254.950912475586,245.735885620117,269.691589355469,0
"gothic",1949-01-31,1949,"031","01","31",252.638366699219,240.601119995117,267.249816894531,0
"gothic",1949-02-01,1949,"032","02","01",257.483612060547,251.411254882812,267.447937011719,17.2141208648682
"gothic",1949-02-02,1949,"033","02","02",250.456771850586,232.905136108398,266.509033203125,2.4591600894928
"gothic",1949-02-03,1949,"034","02","03",260.384704589844,256.566223144531,267.176696777344,0
"gothic",1949-02-04,1949,"035","02","04",261.860168457031,258.134826660156,265.399047851562,0
"gothic",1949-02-05,1949,"036","02","05",255.806259155273,247.528167724609,266.348388671875,5.1807599067688
"gothic",1949-02-06,1949,"037","02","06",251.901763916016,242.944564819336,262.786712646484,1.19879996776581
"gothic",1949-02-07,1949,"038","02","07",256.761383056641,251.623336791992,264.583038330078,11.1196804046631
"gothic",1949-02-08,1949,"039","02","08",252.966659545898,243.541015625,263.872802734375,1.70639991760254
"gothic",1949-02-09,1949,"040","02","09",259.749877929688,256.111938476562,266.610168457031,2.72376012802124
"gothic",1949-02-10,1949,"041","02","10",257.743316650391,247.738632202148,269.773742675781,0.423359990119934
"gothic",1949-02-11,1949,"042","02","11",258.731048583984,244.38232421875,271.285400390625,0
"gothic",1949-02-12,1949,"043","02","12",260.359222412109,247.102844238281,274.012176513672,0
"gothic",1949-02-13,1949,"044","02","13",261.022918701172,248.229751586914,271.331695556641,0
"gothic",1949-02-14,1949,"045","02","14",260.372833251953,255.698120117188,266.908264160156,0
"gothic",1949-02-15,1949,"046","02","15",258.937561035156,253.372436523438,266.272583007812,0
"gothic",1949-02-16,1949,"047","02","16",259.249786376953,252.075469970703,267.226593017578,0
"gothic",1949-02-17,1949,"048","02","17",261.404968261719,252.562286376953,271.878051757812,0
"gothic",1949-02-18,1949,"049","02","18",261.873291015625,253.247344970703,270.830108642578,0
"gothic",1949-02-19,1949,"050","02","19",261.904113769531,255.0908203125,268.934387207031,0.147959992289543
"gothic",1949-02-20,1949,"051","02","20",259.453033447266,246.091720581055,273.694030761719,0
"gothic",1949-02-21,1949,"052","02","21",263.067840576172,255.066879272461,272.115417480469,0
"gothic",1949-02-22,1949,"053","02","22",262.330596923828,250.538208007812,274.999145507812,0
"gothic",1949-02-23,1949,"054","02","23",263.314514160156,252.556289672852,273.321563720703,0
"gothic",1949-02-24,1949,"055","02","24",260.210815429688,244.913650512695,276.596618652344,0
"gothic",1949-02-25,1949,"056","02","25",263.275787353516,252.972732543945,271.733581542969,0.136079996824265
"gothic",1949-02-26,1949,"057","02","26",259.995391845703,249.762435913086,270.507781982422,0.0172799993306398
"gothic",1949-02-27,1949,"058","02","27",258.514343261719,244.7578125,271.071655273438,0
"gothic",1949-02-28,1949,"059","02","28",261.493225097656,252.060958862305,272.191223144531,0.0410399995744228
"gothic",1949-03-01,1949,"060","03","01",264.950988769531,259.957794189453,270.383972167969,0.00215999991632998
"gothic",1949-03-02,1949,"061","03","02",259.010986328125,252.472503662109,270.380584716797,0.867240011692047
"gothic",1949-03-03,1949,"062","03","03",263.274108886719,255.338043212891,273.904479980469,0.194400012493134
"gothic",1949-03-04,1949,"063","03","04",265.231994628906,254.820159912109,274.522644042969,0
"gothic",1949-03-05,1949,"064","03","05",265.047149658203,256.209381103516,272.818328857422,1.49471998214722
"gothic",1949-03-06,1949,"065","03","06",266.115234375,260.768798828125,270.567779541016,9.82151985168457
"gothic",1949-03-07,1949,"066","03","07",266.14892578125,259.865539550781,273.309143066406,1.25279998779297
"gothic",1949-03-08,1949,"067","03","08",267.338989257812,263.089324951172,272.033782958984,4.95612001419067
"gothic",1949-03-09,1949,"068","03","09",264.26953125,253.087341308594,276.833282470703,0.204119995236397
"gothic",1949-03-10,1949,"069","03","10",264.269958496094,254.979858398438,272.839660644531,0
"gothic",1949-03-11,1949,"070","03","11",266.296844482422,259.211151123047,273.194305419922,0
"gothic",1949-03-12,1949,"071","03","12",263.415954589844,254.241622924805,272.451110839844,0
"gothic",1949-03-13,1949,"072","03","13",266.104705810547,260.134399414062,270.917388916016,0
"gothic",1949-03-14,1949,"073","03","14",267.647369384766,263.438110351562,271.794342041016,1.07351994514465
"gothic",1949-03-15,1949,"074","03","15",266.57568359375,260.059936523438,273.414642333984,1.11023998260498
"gothic",1949-03-16,1949,"075","03","16",270.622924804688,264.329345703125,277.918060302734,0.68147999048233
"gothic",1949-03-17,1949,"076","03","17",267.808319091797,260.749969482422,275.036193847656,0.0961199998855591
"gothic",1949-03-18,1949,"077","03","18",267.190002441406,258.453155517578,276.132476806641,0.0561599992215633
