"site","date","year","DOY","mo","day","tmean","tmin","tmax","precip"
"clarkharvard",1949-01-01,1949,"001","01","01",273.322692871094,271.837707519531,276.567687988281,3.22596001625061
"clarkharvard",1949-01-02,1949,"002","01","02",271.6884765625,270.460418701172,272.765777587891,0.0118799991905689
"clarkharvard",1949-01-03,1949,"003","01","03",272.225402832031,268.801788330078,276.902069091797,5.18832015991211
"clarkharvard",1949-01-04,1949,"004","01","04",272.834777832031,269.485809326172,275.543029785156,0.176040008664131
"clarkharvard",1949-01-05,1949,"005","01","05",274.607116699219,271.437255859375,279.520629882812,3.41172003746033
"clarkharvard",1949-01-06,1949,"006","01","06",272.793670654297,270.412536621094,279.281494140625,13.2062397003174
"clarkharvard",1949-01-07,1949,"007","01","07",274.345794677734,268.472381591797,278.626220703125,1.88243997097015
"clarkharvard",1949-01-08,1949,"008","01","08",274.699279785156,269.905181884766,279.282501220703,0.00431999983265996
"clarkharvard",1949-01-09,1949,"009","01","09",270.155822753906,266.426025390625,277.848052978516,0
"clarkharvard",1949-01-10,1949,"010","01","10",268.151580810547,266.205139160156,270.389678955078,0
"clarkharvard",1949-01-11,1949,"011","01","11",270.120941162109,266.523071289062,274.291687011719,0
"clarkharvard",1949-01-12,1949,"012","01","12",271.705780029297,266.231689453125,274.318695068359,0
"clarkharvard",1949-01-13,1949,"013","01","13",269.720672607422,267.324981689453,273.228332519531,1.63727998733521
"clarkharvard",1949-01-14,1949,"014","01","14",274.489868164062,268.728637695312,277.256439208984,0
"clarkharvard",1949-01-15,1949,"015","01","15",267.676544189453,263.843444824219,274.924346923828,0
"clarkharvard",1949-01-16,1949,"016","01","16",267.720520019531,261.998443603516,274.624816894531,0.648000001907349
"clarkharvard",1949-01-17,1949,"017","01","17",274.116943359375,271.10205078125,276.080017089844,0.0723600015044212
"clarkharvard",1949-01-18,1949,"018","01","18",272.303314208984,269.979705810547,273.529296875,0.0216000005602837
"clarkharvard",1949-01-19,1949,"019","01","19",273.220825195312,268.539215087891,277.175994873047,0.0734400004148483
"clarkharvard",1949-01-20,1949,"020","01","20",273.473999023438,269.820495605469,275.729522705078,0.771119952201843
"clarkharvard",1949-01-21,1949,"021","01","21",268.514282226562,265.213012695312,275.42431640625,0.215999990701675
"clarkharvard",1949-01-22,1949,"022","01","22",274.889465332031,266.293518066406,280.289031982422,42.2452774047852
"clarkharvard",1949-01-23,1949,"023","01","23",274.990051269531,272.128051757812,276.927337646484,6.00479984283447
"clarkharvard",1949-01-24,1949,"024","01","24",269.398132324219,266.216461181641,272.156066894531,0
"clarkharvard",1949-01-25,1949,"025","01","25",275.631713867188,265.773132324219,281.835906982422,4.50144004821777
"clarkharvard",1949-01-26,1949,"026","01","26",272.194732666016,266.459777832031,279.865417480469,0
"clarkharvard",1949-01-27,1949,"027","01","27",270.237945556641,267.75048828125,274.499084472656,5.29200029373169
"clarkharvard",1949-01-28,1949,"028","01","28",273.877380371094,265.819763183594,281.243988037109,11.9674797058105
"clarkharvard",1949-01-29,1949,"029","01","29",272.807037353516,266.6982421875,280.2744140625,1.60163998603821
