"site","date","year","DOY","mo","day","tmean","tmin","tmax","precip"
"washdc",1949-01-01,1949,"001","01","01",273.591430664062,269.377685546875,277.90234375,0
"washdc",1949-01-02,1949,"002","01","02",275.713470458984,272.260406494141,279.928039550781,0
"washdc",1949-01-03,1949,"003","01","03",278.110412597656,273.642059326172,284.54638671875,0
"washdc",1949-01-04,1949,"004","01","04",279.388519287109,276.418487548828,283.243041992188,0
"washdc",1949-01-05,1949,"005","01","05",285.340881347656,277.604705810547,293.123168945312,6.98867988586426
"washdc",1949-01-06,1949,"006","01","06",281.866180419922,274.152526855469,292.311492919922,18.0651607513428
"washdc",1949-01-07,1949,"007","01","07",278.1533203125,274.717132568359,283.596221923828,2.37384009361267
"washdc",1949-01-08,1949,"008","01","08",282.906799316406,279.077209472656,289.262512207031,0
"washdc",1949-01-09,1949,"009","01","09",281.890808105469,277.057922363281,287.246704101562,0
"washdc",1949-01-10,1949,"010","01","10",283.911590576172,280.075134277344,290.471435546875,0
"washdc",1949-01-11,1949,"011","01","11",282.638427734375,280.949279785156,285.331024169922,0
"washdc",1949-01-12,1949,"012","01","12",279.784515380859,276.719116210938,283.148681640625,8.40131950378418
"washdc",1949-01-13,1949,"013","01","13",277.369415283203,272.824981689453,280.948333740234,1.1761200428009
"washdc",1949-01-14,1949,"014","01","14",280.104888916016,277.238647460938,283.343475341797,0
"washdc",1949-01-15,1949,"015","01","15",277.055297851562,271.303466796875,281.744781494141,0
"washdc",1949-01-16,1949,"016","01","16",281.133026123047,275.518432617188,289.904815673828,0
"washdc",1949-01-17,1949,"017","01","17",284.069458007812,278.947570800781,287.732055664062,0
"washdc",1949-01-18,1949,"018","01","18",278.843322753906,274.32666015625,283.689392089844,0.221399992704391
"washdc",1949-01-19,1949,"019","01","19",284.032073974609,279.94921875,288.385986328125,0.255960017442703
"washdc",1949-01-20,1949,"020","01","20",275.505249023438,269.530517578125,286.427062988281,0
