"site","date","year","DOY","mo","day","tmean","tmin","tmax","precip"
"harvard",1949-01-01,1949,"001","01","01",273.156433105469,271.827728271484,276.107666015625,3.60935997962952
"harvard",1949-01-02,1949,"002","01","02",271.183471679688,269.830413818359,272.205780029297,0
"harvard",1949-01-03,1949,"003","01","03",272.119171142578,268.382049560547,277.182067871094,5.40971994400024
"harvard",1949-01-04,1949,"004","01","04",272.240997314453,268.425811767578,275.173034667969,0.163080006837845
"harvard",1949-01-05,1949,"005","01","05",274.500885009766,270.864715576172,279.830627441406,4.99175977706909
"harvard",1949-01-06,1949,"006","01","06",272.373657226562,269.902526855469,279.661499023438,13.3164005279541
"harvard",1949-01-07,1949,"007","01","07",273.798309326172,268.022369384766,278.086212158203,1.90728008747101
"harvard",1949-01-08,1949,"008","01","08",273.738037109375,268.615203857422,278.592498779297,0.0151199996471405
"harvard",1949-01-09,1949,"009","01","09",268.645812988281,264.576019287109,276.928039550781,0
"harvard",1949-01-10,1949,"010","01","10",267.055328369141,265.185150146484,268.649688720703,0.0259200017899275
"harvard",1949-01-11,1949,"011","01","11",269.374694824219,265.673065185547,273.731689453125,0
"harvard",1949-01-12,1949,"012","01","12",271.399536132812,265.201690673828,274.358703613281,0.409319996833801
"harvard",1949-01-13,1949,"013","01","13",269.483154296875,266.874969482422,272.858337402344,0.938520014286041
"harvard",1949-01-14,1949,"014","01","14",273.714874267578,269.048645019531,276.566436767578,0
"harvard",1949-01-15,1949,"015","01","15",266.889038085938,262.813446044922,273.954345703125,0
"harvard",1949-01-16,1949,"016","01","16",267.335510253906,261.058441162109,275.104797363281,0.514079988002777
"harvard",1949-01-17,1949,"017","01","17",273.445709228516,271.832061767578,275.350006103516,0
"harvard",1949-01-18,1949,"018","01","18",271.387084960938,269.099700927734,272.679290771484,0
"harvard",1949-01-19,1949,"019","01","19",272.427062988281,267.44921875,276.776000976562,0.597240030765533
"harvard",1949-01-20,1949,"020","01","20",272.425262451172,268.410522460938,274.949523925781,0.587520003318787
"harvard",1949-01-21,1949,"021","01","21",267.429290771484,263.803009033203,274.304321289062,0.349920004606247
"harvard",1949-01-22,1949,"022","01","22",274.113220214844,265.743530273438,279.199035644531,37.8680419921875
"harvard",1949-01-23,1949,"023","01","23",274.580047607422,271.478057861328,276.687347412109,6.29423999786377
"harvard",1949-01-24,1949,"024","01","24",268.525634765625,265.366455078125,271.356079101562,0.622079968452454
"harvard",1949-01-25,1949,"025","01","25",275.07421875,264.623138427734,281.735931396484,5.29631996154785
"harvard",1949-01-26,1949,"026","01","26",271.369720458984,265.369750976562,279.54541015625,0
"harvard",1949-01-27,1949,"027","01","27",269.669189453125,266.950500488281,273.109069824219,4.78656005859375
"harvard",1949-01-28,1949,"028","01","28",273.136138916016,265.739776611328,280.303985595703,10.2967195510864
"harvard",1949-01-29,1949,"029","01","29",272.088287353516,265.988250732422,279.244415283203,1.39751994609833
"harvard",1949-01-30,1949,"030","01","30",267.268402099609,265.218688964844,268.889251708984,0.100440002977848
"harvard",1949-01-31,1949,"031","01","31",267.934600830078,263.316162109375,275.583190917969,13.6673994064331
"harvard",1949-02-01,1949,"032","02","01",270.397338867188,267.521240234375,274.12158203125,1.95047986507416
"harvard",1949-02-02,1949,"033","02","02",269.359252929688,267.968719482422,271.013214111328,0
"harvard",1949-02-03,1949,"034","02","03",265.027191162109,260.596221923828,270.017395019531,0
"harvard",1949-02-04,1949,"035","02","04",268.406402587891,264.429595947266,273.271240234375,0
"harvard",1949-02-05,1949,"036","02","05",267.622497558594,264.068176269531,270.145965576172,0
"harvard",1949-02-06,1949,"037","02","06",266.896759033203,263.028198242188,270.935638427734,0
"harvard",1949-02-07,1949,"038","02","07",268.647644042969,263.884033203125,274.656829833984,5.3459997177124
"harvard",1949-02-08,1949,"039","02","08",273.550415039062,266.592803955078,278.14013671875,8.82468032836914
"harvard",1949-02-09,1949,"040","02","09",273.981109619141,271.061950683594,277.110443115234,1.15343999862671
"harvard",1949-02-10,1949,"041","02","10",270.394561767578,266.011566162109,274.774505615234,0
"harvard",1949-02-11,1949,"042","02","11",265.821044921875,262.892333984375,272.485687255859,0
"harvard",1949-02-12,1949,"043","02","12",266.030487060547,259.035064697266,278.162200927734,0
"harvard",1949-02-13,1949,"044","02","13",274.902923583984,270.161712646484,280.78857421875,0
"harvard",1949-02-14,1949,"045","02","14",274.731597900391,272.348114013672,277.588256835938,0.095040000975132
"harvard",1949-02-15,1949,"046","02","15",277.785034179688,269.115325927734,288.602600097656,23.7535209655762
"harvard",1949-02-16,1949,"047","02","16",272.538543701172,265.395477294922,288.555969238281,4.90752029418945
"harvard",1949-02-17,1949,"048","02","17",270.587463378906,266.818054199219,272.811279296875,1.75607991218567
"harvard",1949-02-18,1949,"049","02","18",266.208312988281,260.867340087891,272.6201171875,0.219239994883537
"harvard",1949-02-19,1949,"050","02","19",276.109100341797,265.354370117188,283.127838134766,0
"harvard",1949-02-20,1949,"051","02","20",275.843017578125,272.221710205078,279.110717773438,8.93591976165771
"harvard",1949-02-21,1949,"052","02","21",269.716583251953,264.258880615234,279.419219970703,1.2765599489212
"harvard",1949-02-22,1949,"053","02","22",271.418090820312,265.873016357422,280.13916015625,4.69367980957031
"harvard",1949-02-23,1949,"054","02","23",273.234497070312,265.681549072266,278.525573730469,8.57736015319824
"harvard",1949-02-24,1949,"055","02","24",272.665832519531,266.026977539062,279.335418701172,0.913679957389832
"harvard",1949-02-25,1949,"056","02","25",268.514556884766,262.912719726562,277.403594970703,0
"harvard",1949-02-26,1949,"057","02","26",270.785400390625,265.512451171875,277.579925537109,0
"harvard",1949-02-27,1949,"058","02","27",268.77685546875,260.897827148438,274.898406982422,0
"harvard",1949-02-28,1949,"059","02","28",271.520721435547,267.036560058594,277.416412353516,0
"harvard",1949-03-01,1949,"060","03","01",273.307250976562,270.447784423828,276.629913330078,20.6614799499512
"harvard",1949-03-02,1949,"061","03","02",270.953491210938,266.622497558594,275.310577392578,3.50568008422852
"harvard",1949-03-03,1949,"062","03","03",273.649108886719,269.772735595703,276.630218505859,13.4643602371216
"harvard",1949-03-04,1949,"063","03","04",270.816986083984,263.220153808594,278.58203125,1.92348003387451
"harvard",1949-03-05,1949,"064","03","05",271.635925292969,266.476776123047,276.65478515625,0
"harvard",1949-03-06,1949,"065","03","06",271.491516113281,268.758819580078,274.076354980469,0.0561599992215633
"harvard",1949-03-07,1949,"066","03","07",271.886413574219,268.965515136719,274.377593994141,0
"harvard",1949-03-08,1949,"067","03","08",270.411499023438,261.229339599609,280.667602539062,0
"harvard",1949-03-09,1949,"068","03","09",274.420776367188,268.397338867188,282.199920654297,0
"harvard",1949-03-10,1949,"069","03","10",274.581207275391,270.761108398438,277.935791015625,0.00756000028923154
"harvard",1949-03-11,1949,"070","03","11",273.848114013672,270.661163330078,277.461547851562,0.673919975757599
"harvard",1949-03-12,1949,"071","03","12",272.649719238281,265.041625976562,280.571105957031,0.0961199924349785
"harvard",1949-03-13,1949,"072","03","13",278.027221679688,272.934387207031,285.658599853516,0
"harvard",1949-03-14,1949,"073","03","14",273.8798828125,267.488128662109,282.098114013672,1.36835992336273
"harvard",1949-03-15,1949,"074","03","15",274.326934814453,269.614624023438,277.694213867188,0.883440017700195
"harvard",1949-03-16,1949,"075","03","16",270.314178466797,265.299346923828,275.128051757812,0.12635999917984
"harvard",1949-03-17,1949,"076","03","17",272.129547119141,267.409973144531,278.674011230469,0
"harvard",1949-03-18,1949,"077","03","18",272.933776855469,270.879791259766,275.525207519531,0
"harvard",1949-03-19,1949,"078","03","19",266.851684570312,261.461059570312,276.180603027344,0
"harvard",1949-03-20,1949,"079","03","20",267.861846923828,260.758178710938,277.389038085938,0
"harvard",1949-03-21,1949,"080","03","21",274.490386962891,268.511566162109,280.350616455078,0
"harvard",1949-03-22,1949,"081","03","22",276.075164794922,270.051544189453,283.305786132812,0
"harvard",1949-03-23,1949,"082","03","23",279.121826171875,274.729400634766,285.294708251953,0.446040004491806
"harvard",1949-03-24,1949,"083","03","24",278.252166748047,273.313079833984,282.794128417969,0.0637199953198433
"harvard",1949-03-25,1949,"084","03","25",277.749572753906,271.417877197266,285.729370117188,0.443879991769791
"harvard",1949-03-26,1949,"085","03","26",284.779754638672,276.429412841797,293.679016113281,1.72044003009796
"harvard",1949-03-27,1949,"086","03","27",277.644073486328,268.484710693359,291.523315429688,0.589680016040802
"harvard",1949-03-28,1949,"087","03","28",277.629089355469,274.168518066406,280.586791992188,0
"harvard",1949-03-29,1949,"088","03","29",277.547943115234,271.957397460938,283.367980957031,0.0410399995744228
"harvard",1949-03-30,1949,"089","03","30",277.484039306641,273.770416259766,280.864776611328,0
"harvard",1949-03-31,1949,"090","03","31",276.740051269531,272.931915283203,280.789825439453,0.944999992847443
"harvard",1949-04-01,1949,"091","04","01",275.91845703125,269.130187988281,282.738861083984,0.0637199953198433
"harvard",1949-04-02,1949,"092","04","02",279.237457275391,272.565307617188,289.585327148438,0
"harvard",1949-04-03,1949,"093","04","03",280.200408935547,274.986938476562,286.254699707031,0.461160004138947
"harvard",1949-04-04,1949,"094","04","04",279.484252929688,274.263977050781,284.930847167969,13.5377998352051
"harvard",1949-04-05,1949,"095","04","05",279.663818359375,272.184997558594,289.063415527344,1.92456007003784
"harvard",1949-04-06,1949,"096","04","06",278.647216796875,273.557250976562,283.3994140625,1.40615999698639
