TEST GERMINATION,,,,,,,SEMIS + TEST GERMINATION,,,,,,
,,,,,,,Amaranthus retroflexus,1,France-Hérault,Montpellier,route de Laverune champ d'asperge,8/6/03,
Artemisia vulgaris,1,France-Nord,Wavrin,marais,,,,2,France-2Sevres,Saint Varent,,,
,2,,,,,,,3,France-Nord,wavrin,bac,,
,,,,,,,,4,France-Loire&Cher,Mer,gare,7/3/03,
,,,,,,,,,,,,,
Lolium perenne,1,France-Loire&Cher,Mer,gare,7/3/03,,Amaranthus deflexus,1,France- Hérault,Montpellier,Campus Fac (entrée transfusion)+TE petites serres,,
,2,France-Nord,Wavrin,"marais, champs",,,,2,France-2Sevres,Saint Varent,Xavier,,
,,,,,,,,,,,,,
Setaria parviflora,,utiliser les graines du TE,,,,,Artemisia annua,1,France-Hérault,Montpellier,Campus UMII entree transfusion,,
,,,,,,,,,,,,,
,,,,,,,Setaria viridis,1,France-Gard,Le Vigan,entre Le Vigan et Col du minier vers 600m altitude,10/5/03,
,,,,,,,,2,France-Hérault,route de Laverune,champ asperge,8/6/03,
,,,,,,,,3,France-2Sevres,Saint Varent,,10/5/03,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
