Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,133,145,152
AMSP,Amelanchier sp.,Juneberry,1,113,139,146
BEAL,Betula alleghaniensis,Yellow Birch,2,136,150,155
BEPA,Betula papyrifera,Paper birch,2,126,144,149
CACA,Carpinus caroliniana,Musclewood,1,126,151,156
CACO,Carya cordiformis,Yellowbud hickory,2,124,157,164
CAOV,Carya ovata,Shagbark hickory,2,143,157,161
COAL,Cornus alternifolia,Pagoda dogwood,3,121,144,150
CORA,Cornus racemosa,Grey Dogwood,3,119,149,155
COSE,Cornus sericea,Red Osier Dogwood,2,116,148,154
CRSP,Crataegus spp.,Hawthorn,2,130,149,154
DIPA,Dirca palustris,Leatherwood,2,106,143,149
FAAM,Fagus americana,Beech,2,134,142,148
FRAM,Fraxinus americana,White ash,3,142,155,160
FRNI,Fraxinus nigra,Black ash,2,145,158,162
HAVI,Hamamelis virginiana,Witch hazel,2,133,148,154
ILVE,Ilex verticillata,Winterberry,1,139,151,156
LALA,Larix laricina,Tamarack,2,109,138,145
OSVI,Ostrya virginiana,Ironwood,3,120,148,154
POTR,Populus tremuloides,Quaking aspen,2,123,140,146
PRSE,Prunus serotina,Black cherry,3,112,146,153
QURU,Quercus rubra,Red oak,2,126,150,154
TIAM,Tilia americana,Basswood,3,135,148,153
ULAM,Ulmus americana,American elm,2,141,152,155
VILE,Viburnum lentago,Nannyberry,1,106,140,146
VIOP,Viburnum opulus,Highbush cranberry,1,129,148,153
,,,53,,,
