Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,131,139,141
AMSP,Amelanchier sp.,Juneberry,1,113,129,132
BEAL,Betula alleghaniensis,Yellow Birch,2,127,136,140
BEPA,Betula papyrifera,Paper birch,2,119,138,143
CACA,Carpinus caroliniana,Musclewood,1,120,139,142
CACO,Carya cordiformis,Yellowbud hickory,2,122,144,148
CAOV,Carya ovata,Shagbark hickory,2,131,143,145
COAL,Cornus alternifolia,Pagoda dogwood,3,123,139,144
CORA,Cornus racemosa,Grey Dogwood,3,119,141,145
COSE,Cornus sericea,Red Osier Dogwood,2,115,139,144
CRSP,Crataegus spp.,Hawthorn,2,125,138,142
DIPA,Dirca palustris,Leatherwood,2,110,135,139
FAAM,Fagus americana,Beech,2,131,129,139
FRAM,Fraxinus americana,White ash,3,131,143,146
FRNI,Fraxinus nigra,Black ash,2,135,146,149
HAVI,Hamamelis virginiana,Witch hazel (1 died),1,131,141,144
ILVE,Ilex verticillata,Winterberry,1,126,141,144
LALA,Larix laricina,Tamarack,2,115,132,136
OSVI,Ostrya virginiana,Ironwood,3,116,139,143
POTR,Populus tremuloides,Quaking aspen,2,122,132,134
PRSE,Prunus serotina,Black cherry,3,111,135,139
QURU,Quercus rubra,Red oak,2,125,140,144
TIAM,Tilia americana,Basswood,3,131,140,143
ULAM,Ulmus americana,American elm,2,132,142,144
VILE,Viburnum lentago,Nannyberry,1,109,130,133
VIOP,Viburnum opulus,Highbush cranberry,1,124,141,145
,,,52,,,
