Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,133,145,147
AMSP,Amelanchier sp.,Juneberry,1,123,139,144
BEAL,Betula alleghaniensis,Yellow Birch,2,132,144,146
BEPA,Betula papyrifera,Paper birch,2,123,138,143
CACA,Carpinus caroliniana,Musclewood,1,130,147,151
CACO,Carya cordiformis,Yellowbud hickory,2,130,148,151
CAOV,Carya ovata,Shagbark hickory,2,136,145,147
COAL,Cornus alternifolia,Pagoda dogwood,1,124,144,146
CORA,Cornus racemosa,Grey Dogwood,3,124,143,146
COSE,Cornus sericea,Red Osier Dogwood,2,123,142,146
CRSP,Crataegus spp.,Hawthorn,2,129,143,146
DIPA,Dirca palustris,Leatherwood,2,111,136,143
FAAM,Fagus americana,Beech,2,136,144,146
FRAM,Fraxinus americana,White ash,3,132,148,151
FRNI,Fraxinus nigra,Black ash (1 died),1,143,151,152
HAVI,Hamamelis virginiana,Witch hazel,2,132,144,146
ILVE,Ilex verticillata,Winterberry,1,136,145,147
LALA,Larix laricina,Tamarack,2,115,135,143
OSVI,Ostrya virginiana,Ironwood,3,123,143,146
POTR,Populus tremuloides,Quaking aspen,2,126,137,142
PRSE,Prunus serotina,Black cherry,3,121,135,144
QURU,Quercus rubra,Red oak,2,128,143,146
TIAM,Tilia americana,Basswood,3,133,144,146
ULAM,Ulmus americana,American elm,2,136,146,150
VILE,Viburnum lentago,Nannyberry,1,114,133,139
VIOP,Viburnum opulus,Highbush cranberry,1,130,144,146
,,,50,,,
