Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,140,150,157
AMSP,Amelanchier sp.,Juneberry,1,122,140,144
BEAL,Betula alleghaniensis,Yellow Birch,2,139,151,159
BEPA,Betula papyrifera,Paper birch,2,128,147,152
CACA,Carpinus caroliniana,Musclewood,1,131,151,155
CACO,Carya cordiformis,Yellowbud hickory,2,133,161,168
CAOV,Carya ovata,Shagbark hickory,2,144,159,163
COAL,Cornus alternifolia,Pagoda dogwood,3,127,146,151
CORA,Cornus racemosa,Grey Dogwood,3,128,155,161
COSE,Cornus sericea,Red Osier Dogwood,2,120,154,161
CRSP,Crataegus spp.,Hawthorn,2,135,150,156
DIPA,Dirca palustris,Leatherwood,2,116,145,151
FAAM,Fagus americana,Beech,2,138,146,151
FRAM,Fraxinus americana,White ash,3,138,160,165
FRNI,Fraxinus nigra,Black ash,2,144,163,167
HAVI,Hamamelis virginiana,Witch hazel,2,138,155,160
ILVE,Ilex verticillata,Winterberry,1,144,158,160
LALA,Larix laricina,Tamarack,2,119,141,149
OSVI,Ostrya virginiana,Ironwood,3,127,148,153
POTR,Populus tremuloides,Quaking aspen,2,133,145,150
PRSE,Prunus serotina,Black cherry,3,121,146,153
QURU,Quercus rubra,Red oak,2,119,152,156
TIAM,Tilia americana,Basswood,3,139,154,159
ULAM,Ulmus americana,American elm,2,140,155,160
VILE,Viburnum lentago,Nannyberry,1,111,141,148
VISP,Viburnum sp.,Maple-leaved Viburnum ,1,133,155,161
,,,53,,,
