Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,137,147,150
AMSP,Amelanchier sp.,Juneberry,1,122,138,142
BEAL,Betula alleghaniensis,Yellow Birch,2,136,143,146
BEPA,Betula papyrifera,Paper birch,2,127,139,143
CACA,Carpinus caroliniana,Musclewood,1,129,147,152
CACO,Carya cordiformis,Yellowbud hickory,2,130,146,150
CAOV,Carya ovata,Shagbark hickory,2,134,145,149
COAL,Cornus alternifolia,Pagoda dogwood (1 died),2,129,141,144
CORA,Cornus racemosa,Grey Dogwood,3,126,141,145
COSE,Cornus sericea,Red Osier Dogwood,2,123,142,145
CRSP,Crataegus spp.,Hawthorn,2,129,141,143
DIPA,Dirca palustris,Leatherwood,2,117,139,143
FAAM,Fagus americana,Beech,2,133,141,144
FRAM,Fraxinus americana,White ash,3,136,149,152
FRNI,Fraxinus nigra,Black ash,2,138,151,154
HAVI,Hamamelis virginiana,Witch hazel,2,136,144,146
ILVE,Ilex verticillata,Winterberry,1,136,148,150
LALA,Larix laricina,Tamarack,2,120,135,138
OSVI,Ostrya virginiana,Ironwood,3,125,142,145
POTR,Populus tremuloides,Quaking aspen,2,125,135,139
PRSE,Prunus serotina,Black cherry,3,120,139,142
QURU,Quercus rubra,Red oak,2,129,143,146
TIAM,Tilia americana,Basswood,3,132,143,146
ULAM,Ulmus americana,American elm,2,139,149,152
VILE,Viburnum lentago,Nannyberry,1,116,135,139
VIOP,Viburnum opulus,Highbush cranberry,1,130,143,146
,,,52,,,
