Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,134,143,146
AMSP,Amelanchier sp.,Juneberry,1,124,142,146
BEAL,Betula alleghaniensis,Yellow Birch,2,135,146,151
BEPA,Betula papyrifera,Paper birch,2,125,138,140
CACA,Carpinus caroliniana,Musclewood,1,130,149,153
CACO,Carya cordiformis,Yellowbud hickory,2,130,150,154
CAOV,Carya ovata,Shagbark hickory,2,137,149,153
COAL,Cornus alternifolia,Pagoda dogwood,1,129,143,146
CORA,Cornus racemosa,Grey Dogwood,3,123,144,147
COSE,Cornus sericea,Red Osier Dogwood,2,123,143,146
CRSP,Crataegus spp.,Hawthorn,2,131,143,147
DIPA,Dirca palustris,Leatherwood,2,118,142,146
FAAM,Fagus americana,Beech,2,132,141,145
FRAM,Fraxinus americana,White ash,3,134,149,153
FRNI,Fraxinus nigra,Black ash,2,136,152,154
HAVI,Hamamelis virginiana,Witch hazel,2,133,145,147
ILVE,Ilex verticillata,Winterberry,1,136,150,153
LALA,Larix laricina,Tamarack,2,124,140,144
OSVI,Ostrya virginiana,Ironwood,3,124,144,147
POTR,Populus tremuloides,Quaking aspen,2,124,139,141
PRSE,Prunus serotina,Black cherry,3,123,142,146
QURU,Quercus rubra,Red oak,2,129,144,147
TIAM,Tilia americana,Basswood,3,135,146,150
ULAM,Ulmus americana,American elm,2,130,143,146
VILE,Viburnum lentago,Nannyberry,1,121,138,141
VIOP,Viburnum opulus,Highbush cranberry,1,134,147,153
,,,51,,,
