Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,124,137,145
AMSP,Amelanchier sp.,Juneberry,1,112,125,129
BEAL,Betula alleghaniensis,Yellow Birch,2,128,139,148
BEPA,Betula papyrifera,Paper birch,2,116,133,140
CACA,Carpinus caroliniana,Musclewood,1,120,145,151
CACO,Carya cordiformis,Yellowbud hickory,2,123,153,160
CAOV,Carya ovata,Shagbark hickory,2,135,149,152
COAL,Cornus alternifolia,Pagoda dogwood,3,117,136,141
CORA,Cornus racemosa,Grey Dogwood,3,116,144,151
COSE,Cornus sericea,Red Osier Dogwood,2,112,140,146
CRSP,Crataegus spp.,Hawthorn,2,118,142,148
DIPA,Dirca palustris,Leatherwood,2,105,132,136
FAAM,Fagus americana,Beech,2,127,132,140
FRAM,Fraxinus americana,White ash,3,130,151,157
FRNI,Fraxinus nigra,Black ash,2,137,152,155
HAVI,Hamamelis virginiana,Witch hazel,2,126,144,149
ILVE,Ilex verticillata,Winterberry,1,126,144,148
LALA,Larix laricina,Tamarack,2,112,124,128
OSVI,Ostrya virginiana,Ironwood,3,112,140,147
POTR,Populus tremuloides,Quaking aspen,2,112,124,127
PRSE,Prunus serotina,Black cherry,3,113,139,145
QURU,Quercus rubra,Red oak,2,119,141,147
TIAM,Tilia americana,Basswood,3,127,144,149
ULAM,Ulmus americana,American elm,2,127,145,150
VILE,Viburnum lentago,Nannyberry,1,105,130,135
VIOP,Viburnum opulus,Highbush cranberry,1,120,136,141
,,,53,,,
