BACE 2011 - herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
1,Achillea millefolium,4,,131,153,158,,,,% cover estimates done on day 124 for the early spring species and day 153 before the June biomass harvest
1,Asclepias syriaca ,,,,,,,,,fall- cut down plots ~ day 295
1,Berteroa incana,,,,,,,,,snow storm days 302-303 froze plants but not soil.
1,Capsella bursa-pastoris ,,,,,,,,,
1,Cerastium fontanum ,2,,153,,,,,,
1,Dactylis glomerata ,5,,124,158,,,,,
1,Draba verna ,,,,,,,,,
1,Elymus repens ,25,,153,,,,,,
1,Erigeron annuus ,,,,,,,,,
1,Festuca spp. ,5,,153,,158,,175,,
1,Oxalis stricta ,,,,,,,,,
1,Phleum pratense ,15,,165,,,,,,
1,Plantago lanceolata ,,,,,,,,,
1,Poa trivialis,15,,124,153,,158,175,,
1,Potentilla argentea ,,,,,,,,,
1,Rumex crispus ,1,,138,,,153,165,,
1,Silene alba ,,3,138,153,158,175,192,"open fl 206, 242 no flowers. Buds/fl 290, gone 306.",
1,Tanacetum vulgare ,10,,192,206,213,228,235,"buds/fl 270, open fl 276, dry fl 290.",
1,Taraxacum officinale ,,,,,,,,,
1,Phleum pratense ,,,,,,,,,
1,Trifolium pratense ,,,,,,,,,
1,Trifolium repens ,,,,,,,,,
1,Veronica arvensis ,2,,,124,,,153,,
1,Chenopodium album,2,,236,242,,,270,"not sure about dry fl date, because I'm not sure what chenopodium seeds look like.",
1,conyza canadensis,1,,,228,,,,,
1,Setaria glauca,,,,,236,,242,,
2,Achillea millefolium,,2,138,153,158,,,,
2,Asclepias syriaca ,,,,,,,,,
2,Berteroa incana,,,,,,,,,
2,Capsella bursa-pastoris ,,,,,,,,,
2,Cerastium fontanum ,,,,,,,,,
2,Dactylis glomerata ,5,,138,153,158,,,,
2,Draba verna ,,,,,,,,,
2,Elymus repens ,15,,153,165,175,,187,,
2,Erigeron annuus ,,,,,,,,,
2,Festuca spp. ,10,,144,158,165,,175,,
2,Oxalis stricta ,2,,,153,,187,,,
2,Phleum pratense ,,,,,,,,,
2,Plantago lanceolata ,1,,175,,,187,213,,
2,Poa trivialis,5,,124,,158,,165,,
2,Potentilla argentea ,,,,,,,,,
2,Rumex crispus ,,,,,,,,,
2,Silene alba ,5,,153,158,165,175,187,"buds/fl 228, open fl 236, fl/dry 242, dry fl 263, open fl 290, gone 306.",
2,Tanacetum vulgare ,3,,,,,,,,
2,Taraxacum officinale ,,,,,,,,,
2,Trifolium pratense ,,,,,,,,,
2,Trifolium repens ,,1,,,,,,,
2,Veronica arvensis ,7,,,117,,,,,
2,Chenopodium album,,1,,,,,,can't find it 270,
2,Lotus corniculatus,1,,,,,,,,
2,lepidium virginicum,,1,,,175,,,,
2,Digitaria ischaemum,10,,,228,236,,252,,
2,Setaria glauca,1,,,,236,,252,,
2,Solanum nigrum,,,175,,,,228,"had fruits 228, so dry flowers sometime earlier",
2,Conyza canadensis,,,,206,,,213,"buds/fl 228, fl/dry 242, dry fl 263",
3,Achillea millefolium,,,,,,,,,
3,Asclepias syriaca ,,2,,,,,,,
3,Berteroa incana,3,,158,165,175,206,242,,
3,Capsella bursa-pastoris ,,,,,,,,,
3,Cerastium fontanum ,,,<131,131,,,,,
3,Dactylis glomerata ,3,,124,,,153,,,
3,Draba verna ,,,,,,,,,
3,Elymus repens ,80,,153,,165,175,192,,
3,Erigeron annuus ,,,,,,,,,
3,Festuca spp. ,,,138,158,,,175,,
3,Oxalis stricta ,2,,,144,,,255,,
3,Phleum pratense ,,,,,,,,,
3,Plantago lanceolata ,,,,,,,,,
3,Poa trivialis,5,,124,144,,158,175,,
3,Potentilla argentea ,,,,,,,,,
3,Rumex crispus ,,,,,,,,,
3,Silene alba ,3,,138,144,,158,,"open fl 242, dry fl 263",
3,Tanacetum vulgare ,,,,,,,,,
3,Taraxacum officinale ,,,,,,,,,
3,Trifolium pratense ,,,,,,,,,
3,Trifolium repens ,,,,,,,,,
3,Veronica arvensis ,5,,,117,,,138,,
3,conyza canadensis,,1,200,,,206,252,"plant dried 213, buds 228, fl 236, dry fl 242",
3,Setaria glauca,2,,,,252,,,,
3,Digitaria ischaemum,5,,,,236,,252,,
3,lepidium virginicum,,1,,,,,242,,
4,Achillea millefolium,,,,,,,,"Plot 4 fire 19 June 2011, day 170",
4,Asclepias syriaca ,,1,,,,,,,
4,Berteroa incana,,1,,,222,236,318,still flowering 311,
4,Capsella bursa-pastoris ,,,,,,,,,
4,Cerastium fontanum ,1,,<144,144,,,,,
4,Dactylis glomerata ,,,131,144,,153,,,
4,Draba verna ,,,,,,,,,
4,Elymus repens ,25,,153,158,165,,175,,
4,Erigeron annuus ,,,,,,,,,
4,Festuca spp. ,,,131,,,,,,
4,Oxalis stricta ,5,,138,144,153,158,175,open fl 242,
4,Phleum pratense ,,,,,,,,,
4,Plantago lanceolata ,2,,131,,,153,165,,
4,Poa trivialis,,,,,,,,,
4,Potentilla argentea ,,,,,,,,,
4,Rumex crispus ,,,,,,,,,
4,Silene alba ,,5,144,,,153,165,"175- fl/dry fl, 236- fl, 242- fl/dry, fl 290, gone 306",
4,Tanacetum vulgare ,,,,,,,,,
4,Taraxacum officinale ,,,,,,,,,
4,Trifolium pratense ,,,,,,,,,
4,Trifolium repens ,,,,,,,,,
4,Veronica arvensis ,3,,,117,,,138,,
4,Lepidium virginicum,,2,153,,,165,180,,
4,Conyza canadensis,15,,175,187,,192,200,,
4,Digitaria ischaemum,5,,228,,242,,252,,
4,Polygonum aviculare,3,,153,,,165,180,,
4,Setaria glauca,4,,,,,175,,,
4,Solanum nigrum,,2,,270,,,187,,
4,Portulaca oleracea,,1,252,255,,,276,buds 290,
4,Polygonum aviculare,,1,,,236,,,,
5,Achillea millefolium,2,,124,138,144,,,,
5,Asclepias syriaca ,,,,,,,,,
5,Berteroa incana,,,,200,,206,,can't find it 263,
5,Capsella bursa-pastoris ,3,,,117,117,124,153,,
5,Cerastium fontanum ,1,,,124,131,,153,,
5,Dactylis glomerata ,,,138,144,,,,,
5,Draba verna ,2,,,101,,110,131,,
5,Elymus repens ,10,,153,,158,187,,,
5,Erigeron annuus ,,,,,,,,,
5,Festuca spp. ,3,,144,,,,175,,
5,Lepidium ruderale,1,,158,,,,263,,
5,Oxalis stricta ,1,,124,131,,252,,fl/dry 252,
5,Phleum pratense ,,,,,,,,,
5,Plantago lanceolata ,,,,,,,,,
5,Poa trivialis,2,,117,,,153,,,
5,Potentilla argentea ,,,,,,,,,
5,Rumex crispus ,,1,,,,,158,,
5,Silene alba ,,,,,,,,,
5,Tanacetum vulgare ,,,,,,,,,
5,Taraxacum officinale ,,,,,,,,,
5,Trifolium pratense ,,,,,,,,,
5,Trifolium repens ,,,,,,,,,
5,Veronica arvensis ,20,,,110,,,138,,
5,Digitaria ischaemum,,,,,,,,,
5,Festuca sp.,3,,138,,,,,,
5,Phytolacca americana,,,,,,,,,
5,Setaria glauca,3,,,,,228,252,,
5,Lepidium virginicum,2,,,,,165,180,,
5,Oenothera biennis,3,,206,222,236,,242,"fl/dry 252, dry 263, fl/dry 267, dry fl 284, fl/dry 290, fl/dry 306, dry fl 311!",
5,Conyza canadensis,25,,,,,,,,
5,Chenopodium album,,,,,,,,,
5,Cardamine hirsuta,2,,,,,124,144,hairy bittercress,
5,Senecio vulgaris,,1,,,,153,,common groundsel,
5,,,,,,,,,,
6,Achillea millefolium,,,,,,,,,
6,Asclepias syriaca ,20,,153,165,,175,187,"pods forming 192, split open 252",
6,Berteroa incana,,,,,,,,,
6,Capsella bursa-pastoris ,,,,,,,,,
6,Cerastium fontanum ,,,,131,,,,,
6,Dactylis glomerata ,3,,124,,,153,175,,
6,Draba verna ,,,,<110,,119,131,,
6,Elymus repens ,10,,153,158,165,,<187,,
6,Erigeron annuus ,,,,,,,,,
6,Festuca spp. ,,,,,,,,,
6,Oxalis stricta ,,,<144,144,,,,,
6,Phleum pratense ,,,,,,,,,
6,Plantago lanceolata ,,,,,,,,,
6,Poa trivialis,,,,,,,,,
6,Potentilla argentea ,,,,,,,,,
6,Rumex crispus ,,,,,,,,,
6,Silene alba ,,,,,,,,,
6,Tanacetum vulgare ,,,,,,,,,
6,Taraxacum officinale ,,,,,,,,,
6,Trifolium pratense ,,,,,,,,,
6,Trifolium repens ,,,,,,,,,
6,Veronica arvensis ,5,,,110,,,138,,
6,Digitaria ischaemum,,,,,,,,,
6,Setaria glauca,4,,,,236,,228,,
6,Lepidium virginicum,1,,153,,,165,,,
6,Conyza canadensis,5,,187,192,,200,206,,
6,Oenothera biennis,,1,,228,,290,,,
6,Linneria vulgaris,30,,153,175,,228,242,"fl/dry 252, still flowering 290, fl/dry 306, dry fl 311.",
6,,,,,,,,,,
6,,,,,,,,,,
6,,,,,,,,,,
7,Achillea millefolium,,,,,,,,,
7,Asclepias syriaca ,,,,,,,,,
7,Berteroa incana,,,,,,,,,
7,Capsella bursa-pastoris ,1,,,124,,131,153,,
7,Cerastium fontanum ,10,,,131,153,158,165,187- flowering.  200- fl/dry,
7,Dactylis glomerata ,,,,,,,,,
7,Draba verna ,3,,,96,,110,131,,
7,Elymus repens ,20,,153,158,165,,187,,
7,Erigeron annuus ,,,,,,,,,
7,Festuca spp. ,,,,,,,,,
7,Oxalis stricta ,,,,,,,,,
7,Phleum pratense ,,,,,,,,,
7,Plantago lanceolata ,,1,,,,200,242,242- new plantago (now ~5 plants),
7,Poa trivialis,15,,138,153,,158,180,,
7,Potentilla argentea ,,,,,,,,,
7,Rumex crispus ,,,,,,,,,
7,Silene alba ,,,,,,,,,
7,Tanacetum vulgare ,,,,,,,,,
7,Taraxacum officinale ,,,117,124,,138,,,
7,Trifolium pratense ,1,,,,,,,,
7,Trifolium repens ,,,,,,,,,
7,Veronica arvensis ,5,,,117,,,153,,
7,Linneria vulgaris,20,,153,175,,206,242,"242- some buds still presnet, though.  Gone 306.",
7,Lepidium virginicum,1,,,,,165,175,,
7,Conyza canadensis,15,,192,200,206,228,236,,
7,Setaria glauca,,,,,,252,263,,
7,,,,,,,,,,
7,,,,,,,,,,
7,,,,,,,,,,
8,Achillea millefolium,,,,,,,,,
8,Asclepias syriaca ,,1,,,,,,,
8,Berteroa incana,,,,,,,,,
8,Capsella bursa-pastoris ,,1,,,,153,,,
8,Cerastium fontanum ,,,,,,,,,
8,Dactylis glomerata ,,,138,,,,,,
8,Draba verna ,3,,,110,,117,138,,
8,Elymus repens ,1,,,175,,,187,,
8,Erigeron annuus ,,,,,,,,,
8,Festuca spp. ,,,,,,,,,
8,Oxalis stricta ,,,,,,,,,
8,Phleum pratense ,,,,,,,,,
8,Plantago lanceolata ,25,,138,144,,153,175,"200- fl/dry, 213- dry fl",
8,Poa trivialis,6,,117,144,,153,175,,
8,Potentilla argentea ,,,,,,,,,
8,Rumex crispus ,,,,,,,,,
8,Silene alba ,,1,,,175,,,,
