"month","type","(Intercept)","temptreat0","SE","t","nsites"
"01","soil",2.74549602957502,-0.462303690366203,0.177304340610326,-2.60740198900285,5
"01","soil",5.74563714312821,-0.560307715025731,NA,NA,NA
"01","soil",0.490747596815057,-0.166207832636531,NA,NA,NA
"01","soil",0.157124561316776,-0.336569105551573,NA,NA,NA
"01","soil",0.570367585597992,-0.179213826301623,NA,NA,NA
"01","soil",6.76360326106506,-1.06921997232174,NA,NA,NA
"01","air",0.0781496038597557,0.207718824594058,0.178734335697847,1.16216519776709,4
"01","air",4.0516292839707,0.253518642035156,NA,NA,NA
"01","air",-4.27554264231945,0.157536534479978,NA,NA,NA
"01","air",-4.63749447270576,0.153364541896968,NA,NA,NA
"01","air",5.17400624654848,0.266455579964764,NA,NA,NA
"02","soil",3.07733113573409,-0.595692028273302,0.189531347019803,-3.14297364335759,5
"02","soil",7.04541423321804,-1.12804828394852,NA,NA,NA
"02","soil",0.680461597925974,-0.243595818370644,NA,NA,NA
"02","soil",0.274467411520426,-0.501160656906552,NA,NA,NA
"02","soil",-0.0252358295355246,-0.153865077343486,NA,NA,NA
"02","soil",7.41154826519774,-0.951790304760664,NA,NA,NA
"02","air",2.07057834505396,0.0557347022526317,0.152496095192872,0.365482815688758,4
"02","air",6.69992217025891,-0.0114122596848372,NA,NA,NA
"02","air",-1.96059609712525,0.114205433106226,NA,NA,NA
"02","air",-3.95543884525721,0.143139907437288,NA,NA,NA
"02","air",7.49842615247591,-0.0229942718501291,NA,NA,NA
"03","soil",5.26739531949395,-0.472919617199736,0.183410724229338,-2.57847309194632,5
"03","soil",10.6796091941538,-0.899675773718384,NA,NA,NA
"03","soil",3.12109406458143,-0.223524146380221,NA,NA,NA
"03","soil",1.6316149209114,-0.355037206874438,NA,NA,NA
"03","soil",0.484042299296556,-0.12980595993785,NA,NA,NA
"03","soil",10.4206161191192,-0.756554999127338,NA,NA,NA
"03","air",6.58581545034033,0.592989000509624,0.274563481723625,2.15975189703679,4
"03","air",10.2566757583969,0.924898321333963,NA,NA,NA
"03","air",3.40854218240052,0.305708492961916,NA,NA,NA
"03","air",1.56939122403101,0.139417407423706,NA,NA,NA
"03","air",11.1086526365426,1.00193178031979,NA,NA,NA
"04","soil",9.92730895403371,-0.601839307738016,0.17716399879765,-3.39707452881222,5
"04","soil",15.4348574996263,-0.844882565973685,NA,NA,NA
"04","soil",7.8306843589136,-0.393195857596261,NA,NA,NA
"04","soil",6.51574916602797,-0.953571899860583,NA,NA,NA
"04","soil",5.4208594404551,-0.449915695073631,NA,NA,NA
"04","soil",14.434394304718,-0.367630520182641,NA,NA,NA
"04","air",12.2312380047305,0.942785325824077,0.197805322034455,4.76622831037811,4
"04","air",15.7645599280895,1.15486380017646,NA,NA,NA
"04","air",8.78813733438124,0.736122147928536,NA,NA,NA
"04","air",8.36354896899545,0.710637333719139,NA,NA,NA
"04","air",16.0087057877447,1.16951802148951,NA,NA,NA
"05","soil",14.9195114796803,-0.33321024503712,0.0940937139995869,-3.54125935594999,5
"05","soil",19.1325495297288,-0.452830830336159,NA,NA,NA
"05","soil",13.1529530582576,-0.28305243734117,NA,NA,NA
"05","soil",12.2409106473475,-0.2571568613456,NA,NA,NA
"05","soil",12.032101346071,-0.25122814896306,NA,NA,NA
"05","soil",18.0390428168367,-0.421782947195066,NA,NA,NA
"05","air",17.5201103602341,0.650678987207995,0.153273696122718,4.2452097370121,4
"05","air",20.143961261169,0.535734165972212,NA,NA,NA
"05","air",15.2392194759869,0.750599525701513,NA,NA,NA
"05","air",14.9797586955934,0.761965900600869,NA,NA,NA
"05","air",19.7175020082549,0.554416356554417,NA,NA,NA
"06","soil",18.2071263917077,0.0136692092945246,0.181212611696126,0.0754318872543284,5
"06","soil",23.1909295628291,-0.561521772929342,NA,NA,NA
"06","soil",16.4963702573631,-0.0433606283686119,NA,NA,NA
"06","soil",15.2033479993664,0.138582818889921,NA,NA,NA
"06","soil",14.5280061328749,0.204527505202537,NA,NA,NA
"06","soil",21.6169780085668,0.33011812355891,NA,NA,NA
"06","air",20.8294303066658,0.577591647313021,0.130118263740253,4.43897444301925,4
"06","air",24.4649750447602,0.446962369563118,NA,NA,NA
"06","air",17.8794667674523,0.683587208990116,NA,NA,NA
"06","air",17.2628097346507,0.705744400997438,NA,NA,NA
"06","air",23.7104696793319,0.474072609718233,NA,NA,NA
"07","soil",21.1416777526008,-0.191187970053941,0.21944162036099,-0.871247531527652,5
"07","soil",25.4406288687711,-1.01168625266808,NA,NA,NA
"07","soil",19.7228688201495,-0.190084295045822,NA,NA,NA
"07","soil",18.6652304714863,0.0284334726546419,NA,NA,NA
"07","soil",17.7493661408419,0.0437425340034081,NA,NA,NA
"07","soil",24.1302944599431,0.173654690940562,NA,NA,NA
"07","air",23.7261697633387,0.50660962619498,0.106467062591722,4.75836952633621,4
