ID Sheet,ID Sheet Code,Species CODE,Genus,Species,Common Name,Family,Life Form,Life Form 2,Mature Layer,Life History,Flower Season,Fruit Season,Shade Tolerance,Native/Exotic,Native Status,Wetland Status,Habitat Desc,Distribution,Notes
U53, =CIVU, =CIVU,, =CIVU, =CIVU,,forb,unknown,,,,,,unknown,,,,,
U34, =ERAN, =ERAN,, =ERAN, =ERAN,,forb,unknown,,,,,,unknown,,,,,
U61, =PRSE, =PRSE,, =PRSE, =PRSE,,unknown,unknown,,,,,,unknown,,,,,NOTED 7/21
U62, =SACA, =SACA,, =SACA, =SACA,,woody,unknown,,,,,,unknown,,,,,
U18, =SACA, =SACA,, =SACA, = SACA,,unknown,unknown,,,,,,unknown,,,,,syn: Circaeae lutetiana
U22, =SOCA, =SOCA,, =SOCA, =SOCA,,forb,unknown,,,,,,unknown,,,,,
U25, =SOCA, =SOCA,, =SOCA, =SOCA,,forb,unknown,,,,,,unknown,,,,,
U26, =SOCA, =SOCA,, =SOCA, =SOCA,,forb,unknown,,,,,,unknown,,,,,
U36, =SOCA, =SOCA,, =SOCA, =SOCA,,forb,unknown,,,,,,unknown,,,,,
U37, =SOCA, =SOCA,, =SOCA, =SOCA,,forb,unknown,,,,,,unknown,,,,,
U55, =SOCA, =SOCA,, =SOCA, =SOCA,,forb,unknown,,,,,,unknown,,,,,
U27, =SOCA/U48, =SOCA/U48,, =SOCA/U48, =SOCA,,forb,unknown,,,,,,unknown,,,,,
U14, =U1, =U1,, =U1, =U1,,unknown,unknown,,,,,,unknown,,,,,
U46, =U1, =U1,, =U1, =U1,,unknown,unknown,,,,,,unknown,,,,,
U87, =U12, =U12,, =U12, =U12,,unknown,unknown,,,,,,unknown,,,,,NOTED 5/18
U19, =U16, =U16,, =U16, =U16,,unknown,unknown,,,,,,unknown,,,,,"NOTED 6/16, A2"
U31, =U16, =U16,, =U16, =U16,,unknown,unknown,,,,,,unknown,,,,,"NOTED 8/11, H2"
U38, =U2, =U2,, =U2, =U2,,unknown,unknown,,,,,,unknown,,,,,NOTED 5/12
U71, =U2, =U2,, =U2, =U2,,unknown,unknown,,,,,,unknown,,,,,NOTED 7/24
U58, =U27, =U27,, =U27, =U27,,forb,unknown,,,,,,unknown,,,,,
U47, =U27, =U27,, =U27, =U27,,unknown,unknown,,,,,,unknown,,,,,"NOTED 6/30, W4"
U30, =U45, =U45,, =U45, =U45,,unknown,unknown,,,,,,unknown,,,,,NOTED 6/28
