"","est.","se","est.","se","est.","se"
"intercept","14.74","1.58","6.5","0.89","21.46","1.97"
"target warming effect","-0.37","0.31","0.81","0.12","0.48","0.2"
"site random effects","int","target","int","target","int","target"
"exp01","13.65","0.06","6.48","0.8","19.94","0.85"
"exp03","12.65","-0.13","7.99","0.49","20.95","0.38"
"exp04","9.5","0.01","6.36","0.49","15.68","0.49"
"exp07","10.28","0.37","4.61","0.72","14.04","1.06"
"exp09","17.37","-0.61","4.72","1.13","21.28","0.56"
"exp10","12","0.23","8.58","0.73","21.44","0.97"
"exp12","22.63","-2.57","4.85","1.43","29.65","-0.82"
"exp14","19.84","-0.3","8.39","0.68","28.68","0.37"
