PDF	ZIP	Latin Name	Common Name	Reference	Original Map No(s).
Graphic(PDF)	Shapefiles	Abies amabilis	Pacific silver fir	Little (1971) 	1-W, 1-N
Graphic(PDF)	Shapefiles	Abies balsamea	balsam fir	Little (1971) 	2-N, 2-E
Graphic(PDF)	Shapefiles	Abies bracteata	bristlecone fir	Little (1971) 	3-W
Graphic(PDF)	Shapefiles	Abies concolor	white fir	Little (1971) 	5-W
Graphic(PDF)	Shapefiles	Abies fraseri	Fraser fir	Little (1971) 	4-E
Graphic(PDF)	Shapefiles	Abies grandis	grand fir	Little (1971) 	6-W
Graphic(PDF)	Shapefiles	Abies lasiocarpa	subalpine fir	Little (1971) 	7-W, 7-N
Graphic(PDF)	Shapefiles	Abies magnifica	California red fir	Little (1971) 	8-W
Graphic(PDF)	Shapefiles	Abies procera	noble fir	Little (1971) 	9-W
Graphic(PDF)	Shapefiles	Acacia berlandieri	Berlandier acacia	Little (1976) 	1-N, 1-SW
Graphic(PDF)	Shapefiles	Acacia choriophylla	cinnecord	Little (1978) 	159
Graphic(PDF)	Shapefiles	Acacia farnesiana	sweet acacia	Little (1976) 	2
Graphic(PDF)	Shapefiles	Acacia greggii	catclaw acacia	Little (1976) 	3
Graphic(PDF)	Shapefiles	Acacia macracantha	long spine acacia	Little (1978) 	160
Graphic(PDF)	Shapefiles	Acacia rigidula	blackbrush acacia	Little (1976) 	4
Graphic(PDF)	Shapefiles	Acacia roemeriana	Roemer acacia	Little (1976) 	5
Graphic(PDF)	Shapefiles	Acacia tortuosa	twisted acacia	Little (1976) 	6-N, 6-SW
Graphic(PDF)	Shapefiles	Acacia wrightii	Wright acacia	Little (1976) 	7
Graphic(PDF)	Shapefiles	Acer barbatum	Florida maple	Little (1977) 	1
Graphic(PDF)	Shapefiles	Acer circinatum	vine maple	Little (1976) 	8
Graphic(PDF)	Shapefiles	Acer glabrum	Rocky Mountain maple	Little (1976) 	9-N, 9-W
Graphic(PDF)	Shapefiles	Acer grandidentatum	bigtooth maple	Little (1976) 	10
Graphic(PDF)	Shapefiles	Acer leucoderme	chalk maple	Little (1977) 	2
Graphic(PDF)	Shapefiles	Acer macrophyllum	bigleaf maple	Little (1971) 	95-W, 95-N
Graphic(PDF)	Shapefiles	Acer negundo	boxelder	Little (1971) 	96-W, 96-E, 96-N
Graphic(PDF)	Shapefiles	Acer nigrum	black maple	Little (1971) 	97-E
Graphic(PDF)	Shapefiles	Acer pensylvanicum	striped maple	Little (1977) 	3-N, 3-NE
Graphic(PDF)	Shapefiles	Acer rubrum	red maple	Little (1971) 	98-N, 98-E
Graphic(PDF)	Shapefiles	Acer saccharinum	silver maple	Little (1971) 	101-E
Graphic(PDF)	Shapefiles	Acer saccharum	sugar maple	Little (1971) 	99-N, 99-E
Graphic(PDF)	Shapefiles	Acer spicatum	mountain maple	Little (1977) 	4-N, 4-NE
Graphic(PDF)	Shapefiles	Acoelorrhaphe wrightii	paurotis palm	Little (1978) 	161
Graphic(PDF)	Shapefiles	Aesculus californica	California buckeye	Little (1976) 	11
Graphic(PDF)	Shapefiles	Aesculus glabra	Ohio buckeye	Little (1971) 	102-E
