year,site,plot,date,rep,stage1,stage2,stage3,average
5.00,4.00,1.00,200.00,5.00,1.00,,,1.00
5.00,4.00,1.00,207.00,5.00,1.00,,,1.00
5.00,4.00,1.00,214.00,5.00,1.00,,,1.00
5.00,4.00,1.00,221.00,5.00,1.00,2.00,,1.50
5.00,4.00,1.00,228.00,5.00,3.00,,,3.00
5.00,4.00,1.00,249.00,5.00,5.00,,,5.00
5.00,4.00,1.00,256.00,5.00,5.00,,,5.00
5.00,4.00,1.00,263.00,5.00,5.00,6.00,,5.50
5.00,4.00,1.00,270.00,5.00,6.00, ,,6.00
5.00,4.00,2.00,193.00,2.00,0.00,,,0.00
5.00,4.00,2.00,200.00,2.00,1.00,,,1.00
5.00,4.00,2.00,207.00,2.00,1.00,,,1.00
5.00,4.00,2.00,214.00,2.00,1.00,,,1.00
5.00,4.00,2.00,221.00,2.00,1.00,2.00,,1.50
5.00,4.00,2.00,228.00,2.00,2.00,3.00,,2.50
5.00,4.00,2.00,234.00,2.00,3.00,4.00,,3.50
5.00,4.00,2.00,242.00,2.00,4.00,5.00,,4.50
5.00,4.00,2.00,249.00,2.00,5.00,,,5.00
5.00,4.00,2.00,256.00,2.00,5.00,,,5.00
5.00,4.00,2.00,263.00,2.00,5.00,6.00,,5.50
5.00,4.00,2.00,270.00,2.00,6.00, ,,6.00
5.00,4.00,2.00,186.00,3.00,0.00,,,0.00
5.00,4.00,2.00,193.00,3.00,1.00,,,1.00
5.00,4.00,2.00,200.00,3.00,1.00,,,1.00
5.00,4.00,2.00,207.00,3.00,1.00,,,1.00
5.00,4.00,2.00,214.00,3.00,1.00,,,1.00
5.00,4.00,2.00,221.00,3.00,2.00,,,2.00
5.00,4.00,2.00,228.00,3.00,3.00,,,3.00
5.00,4.00,2.00,234.00,3.00,3.00,4.00,,3.50
5.00,4.00,2.00,242.00,3.00,5.00,,,5.00
5.00,4.00,2.00,249.00,3.00,5.00,,,5.00
5.00,4.00,2.00,256.00,3.00,5.00,,,5.00
5.00,4.00,2.00,263.00,3.00,5.00,6.00,,5.50
5.00,4.00,2.00,270.00,3.00,6.00, ,,6.00
5.00,4.00,2.00,186.00,5.00,1.00,,,1.00
5.00,4.00,2.00,193.00,5.00,1.00,,,1.00
5.00,4.00,2.00,200.00,5.00,1.00,,,1.00
5.00,4.00,2.00,207.00,5.00,1.00,2.00,,1.50
5.00,4.00,2.00,214.00,5.00,1.00,2.00,,1.50
5.00,4.00,2.00,221.00,5.00,2.00,3.00,,2.50
5.00,4.00,2.00,228.00,5.00,3.00,,,3.00
5.00,4.00,2.00,234.00,5.00,3.00,4.00,,3.50
5.00,4.00,2.00,242.00,5.00,5.00,,,5.00
5.00,4.00,2.00,249.00,5.00,5.00,,,5.00
5.00,4.00,2.00,256.00,5.00,5.00,,,5.00
5.00,4.00,2.00,263.00,5.00,5.00,6.00,,5.50
5.00,4.00,2.00,270.00,5.00,6.00, ,,6.00
5.00,4.00,3.00,207.00,2.00,0.00,,,0.00
5.00,4.00,3.00,214.00,2.00,1.00,,,1.00
5.00,4.00,3.00,221.00,2.00,1.00,2.00,,1.50
5.00,4.00,3.00,228.00,2.00,1.00,2.00,,1.50
5.00,4.00,3.00,234.00,2.00,2.00,3.00,,2.50
5.00,4.00,3.00,242.00,2.00,3.00,4.00,5.00,4.00
5.00,4.00,3.00,249.00,2.00,5.00,,,5.00
5.00,4.00,3.00,256.00,2.00,5.00,,,5.00
5.00,4.00,3.00,263.00,2.00,5.00,6.00,,5.50
5.00,4.00,3.00,270.00,2.00,6.00, ,,6.00
5.00,4.00,3.00,200.00,4.00,0.00,,,0.00
5.00,4.00,3.00,207.00,4.00,1.00,,,1.00
5.00,4.00,3.00,214.00,4.00,1.00,,,1.00
5.00,4.00,3.00,221.00,4.00,1.00,2.00,,1.50
5.00,4.00,3.00,228.00,4.00,2.00,,,2.00
5.00,4.00,3.00,234.00,4.00,2.00,3.00,4.00,3.00
5.00,4.00,3.00,242.00,4.00,3.00,4.00,5.00,4.00
5.00,4.00,3.00,249.00,4.00,3.00,5.00,,4.00
5.00,4.00,3.00,256.00,4.00,5.00,,,5.00
5.00,4.00,3.00,263.00,4.00,5.00,,,5.00
5.00,4.00,3.00,270.00,4.00,6.00,,,6.00
5.00,4.00,3.00,186.00,5.00,0.00,,,0.00
5.00,4.00,3.00,193.00,5.00,1.00,,,1.00
5.00,4.00,3.00,200.00,5.00,1.00,,,1.00
5.00,4.00,3.00,207.00,5.00,1.00,,,1.00
5.00,4.00,3.00,214.00,5.00,1.00,,,1.00
5.00,4.00,3.00,221.00,5.00,1.00,2.00,,1.50
5.00,4.00,3.00,228.00,5.00,2.00,3.00,,2.50
5.00,4.00,3.00,234.00,5.00,2.00,3.00,,2.50
5.00,4.00,3.00,242.00,5.00,4.00, ,,4.00
5.00,4.00,3.00,249.00,5.00,5.00,,,5.00
5.00,4.00,3.00,256.00,5.00,5.00,,,5.00
5.00,4.00,3.00,263.00,5.00,5.00,6.00,,5.50
5.00,4.00,3.00,270.00,5.00,6.00, ,,6.00
5.00,4.00,4.00,193.00,1.00,0.00,,,0.00
5.00,4.00,4.00,200.00,1.00,1.00,,,1.00
5.00,4.00,4.00,207.00,1.00,1.00,,,1.00
5.00,4.00,4.00,214.00,1.00,1.00,2.00,,1.50
5.00,4.00,4.00,221.00,1.00,1.00,2.00,,1.50
5.00,4.00,4.00,228.00,1.00,3.00,,,3.00
5.00,4.00,4.00,234.00,1.00,3.00,,,3.00
5.00,4.00,4.00,186.00,3.00,0.00,,,0.00
5.00,4.00,4.00,193.00,3.00,1.00,,,1.00
5.00,4.00,4.00,200.00,3.00,1.00,,,1.00
5.00,4.00,4.00,207.00,3.00,1.00,,,1.00
5.00,4.00,4.00,214.00,3.00,1.00,2.00,,1.50
5.00,4.00,4.00,221.00,3.00,2.00,3.00,,2.50
5.00,4.00,4.00,228.00,3.00,3.00,,,3.00
5.00,4.00,4.00,234.00,3.00,3.00,,,3.00
5.00,4.00,4.00,242.00,3.00,5.00,,,5.00
5.00,4.00,4.00,249.00,3.00,5.00,,,5.00
5.00,4.00,4.00,256.00,3.00,5.00,,,5.00
5.00,4.00,4.00,186.00,4.00,0.00,,,0.00
5.00,4.00,4.00,193.00,4.00,1.00,,,1.00
5.00,4.00,4.00,200.00,4.00,1.00,,,1.00
5.00,4.00,4.00,207.00,4.00,1.00,,,1.00
5.00,4.00,4.00,214.00,4.00,1.00,2.00,,1.50
5.00,4.00,4.00,221.00,4.00,2.00,,,2.00
5.00,4.00,4.00,228.00,4.00,2.00,3.00,,2.50
5.00,4.00,4.00,234.00,4.00,3.00,4.00,,3.50
5.00,4.00,4.00,242.00,4.00,3.00,4.00,5.00,4.00
5.00,4.00,4.00,249.00,4.00,5.00,,,5.00
5.00,4.00,4.00,256.00,4.00,5.00,,,5.00
5.00,4.00,4.00,263.00,4.00,5.00,6.00,,5.50
5.00,4.00,4.00,270.00,4.00,6.00, ,,6.00
5.00,4.00,6.00,200.00,1.00,0.00,,,0.00
5.00,4.00,6.00,207.00,1.00,1.00,,,1.00
5.00,4.00,6.00,214.00,1.00,2.00,,,2.00
5.00,4.00,6.00,221.00,1.00,2.00,3.00,,2.50
5.00,4.00,6.00,228.00,1.00,3.00,,,3.00
5.00,4.00,6.00,234.00,1.00,3.00,4.00,,3.50
5.00,4.00,6.00,242.00,1.00,5.00,,,5.00
5.00,4.00,6.00,249.00,1.00,5.00,,,5.00
5.00,4.00,6.00,256.00,1.00,5.00,,,5.00
5.00,4.00,6.00,263.00,1.00,5.00,6.00,,5.50
5.00,4.00,6.00,270.00,1.00,6.00, ,,6.00
5.00,4.00,6.00,186.00,4.00,0.00,,,0.00
5.00,4.00,6.00,193.00,4.00,1.00,,,1.00
5.00,4.00,6.00,200.00,4.00,1.00,,,1.00
5.00,4.00,6.00,207.00,4.00,1.00,,,1.00
5.00,4.00,6.00,214.00,4.00,2.00,,,2.00
5.00,4.00,6.00,221.00,4.00,2.00,,,2.00
5.00,4.00,6.00,228.00,4.00,3.00,,,3.00
5.00,4.00,6.00,234.00,4.00,3.00,4.00,,3.50
5.00,4.00,6.00,242.00,4.00,5.00,,,5.00
5.00,4.00,7.00,193.00,1.00,0.00,,,0.00
5.00,4.00,7.00,200.00,1.00,1.00,,,1.00
5.00,4.00,7.00,207.00,1.00,1.00,,,1.00
5.00,4.00,7.00,214.00,1.00,1.00,2.00,,1.50
5.00,4.00,7.00,221.00,1.00,1.00,2.00,,1.50
5.00,4.00,7.00,228.00,1.00,2.00,3.00,,2.50
5.00,4.00,7.00,234.00,1.00,4.00,5.00,,4.50
5.00,4.00,7.00,242.00,1.00,5.00,,,5.00
5.00,4.00,7.00,249.00,1.00,5.00,,,5.00
5.00,4.00,7.00,256.00,1.00,5.00,6.00,,5.50
5.00,4.00,7.00,263.00,1.00,5.00,6.00,,5.50
5.00,4.00,7.00,270.00,1.00,6.00, ,,6.00
5.00,4.00,7.00,186.00,2.00,0.00,,,0.00
5.00,4.00,7.00,193.00,2.00,1.00,,,1.00
5.00,4.00,7.00,200.00,2.00,1.00,,,1.00
5.00,4.00,7.00,207.00,2.00,1.00,,,1.00
5.00,4.00,7.00,214.00,2.00,1.00,2.00,,1.50
5.00,4.00,7.00,221.00,2.00,2.00,3.00,,2.50
5.00,4.00,7.00,228.00,2.00,3.00,,,3.00
5.00,4.00,7.00,234.00,2.00,4.00,5.00,,4.50
5.00,4.00,7.00,186.00,3.00,0.00,,,0.00
5.00,4.00,7.00,193.00,3.00,1.00,,,1.00
5.00,4.00,7.00,200.00,3.00,1.00,,,1.00
5.00,4.00,7.00,207.00,3.00,1.00,,,1.00
5.00,4.00,7.00,214.00,3.00,1.00,2.00,,1.50
5.00,4.00,7.00,221.00,3.00,2.00,3.00,,2.50
5.00,4.00,7.00,228.00,3.00,3.00,,,3.00
5.00,4.00,7.00,234.00,3.00,3.00,,,3.00
5.00,4.00,7.00,242.00,3.00,5.00,,,5.00
5.00,4.00,7.00,249.00,3.00,5.00,,,5.00
5.00,4.00,7.00,256.00,3.00,5.00,6.00,,5.50
5.00,4.00,7.00,263.00,3.00,5.00,6.00,,5.50
5.00,4.00,7.00,270.00,3.00,6.00, ,,6.00
5.00,4.00,7.00,186.00,4.00,0.00,,,0.00
5.00,4.00,7.00,193.00,4.00,1.00,,,1.00
5.00,4.00,7.00,200.00,4.00,1.00,,,1.00
5.00,4.00,7.00,207.00,4.00,1.00,,,1.00
5.00,4.00,7.00,214.00,4.00,1.00,2.00,,1.50
5.00,4.00,7.00,221.00,4.00,1.00,3.00,,2.00
5.00,4.00,7.00,228.00,4.00,3.00,,,3.00
5.00,4.00,7.00,249.00,4.00,5.00,,,5.00
5.00,4.00,7.00,256.00,4.00,5.00,6.00,,5.50
5.00,4.00,7.00,263.00,4.00,5.00,6.00,,5.50
5.00,4.00,7.00,270.00,4.00,6.00, ,,6.00
5.00,4.00,7.00,186.00,5.00,0.00,,,0.00
5.00,4.00,7.00,193.00,5.00,1.00,,,1.00
5.00,4.00,7.00,200.00,5.00,1.00,,,1.00
5.00,4.00,7.00,207.00,5.00,1.00,,,1.00
5.00,4.00,7.00,221.00,5.00,2.00,,,2.00
5.00,4.00,7.00,228.00,5.00,2.00,3.00,,2.50
5.00,4.00,7.00,234.00,5.00,3.00,4.00,,3.50
5.00,4.00,7.00,242.00,5.00,3.00,4.00,5.00,4.00
5.00,4.00,7.00,249.00,5.00,5.00,,,5.00
5.00,4.00,7.00,256.00,5.00,5.00,6.00,,5.50
5.00,4.00,7.00,263.00,5.00,5.00,6.00,,5.50
5.00,4.00,7.00,270.00,5.00,6.00, ,,6.00
5.00,4.00,9.00,186.00,2.00,0.00,,,0.00
5.00,4.00,9.00,193.00,2.00,1.00,,,1.00
5.00,4.00,9.00,200.00,2.00,1.00,,,1.00
5.00,4.00,9.00,207.00,2.00,1.00,2.00,,1.50
5.00,4.00,9.00,214.00,2.00,1.00,2.00,,1.50
5.00,4.00,9.00,221.00,2.00,2.00,3.00,,2.50
5.00,4.00,9.00,228.00,2.00,3.00,,,3.00
5.00,4.00,9.00,234.00,2.00,4.00,,,4.00
5.00,4.00,9.00,242.00,2.00,4.00,5.00,,4.50
5.00,4.00,9.00,249.00,2.00,5.00,,,5.00
5.00,4.00,9.00,256.00,2.00,5.00,6.00,,5.50
5.00,4.00,9.00,263.00,2.00,5.00,6.00,,5.50
5.00,4.00,9.00,270.00,2.00,6.00, ,,6.00
5.00,4.00,9.00,193.00,3.00,0.00,,,0.00
5.00,4.00,9.00,200.00,3.00,1.00,,,1.00
5.00,4.00,9.00,207.00,3.00,1.00,,,1.00
5.00,4.00,9.00,214.00,3.00,1.00,,,1.00
5.00,4.00,9.00,221.00,3.00,1.00,2.00,,1.50
5.00,4.00,9.00,228.00,3.00,3.00,,,3.00
5.00,4.00,9.00,234.00,3.00,3.00,,,3.00
5.00,4.00,9.00,242.00,3.00,3.00,5.00,,4.00
5.00,4.00,9.00,249.00,3.00,5.00,,,5.00
5.00,4.00,9.00,256.00,3.00,5.00,6.00,,5.50
5.00,4.00,9.00,263.00,3.00,5.00,6.00,,5.50
5.00,4.00,9.00,270.00,3.00,6.00, ,,6.00
5.00,4.00,10.00,186.00,4.00,1.00,,,1.00
5.00,4.00,10.00,193.00,4.00,1.00,,,1.00
5.00,4.00,10.00,200.00,4.00,1.00,,,1.00
5.00,4.00,10.00,207.00,4.00,1.00,2.00,,1.50
5.00,4.00,10.00,214.00,4.00,2.00,,,2.00
5.00,4.00,10.00,221.00,4.00,2.00,3.00,,2.50
5.00,4.00,10.00,228.00,4.00,3.00,,,3.00
5.00,4.00,10.00,234.00,4.00,3.00,,,3.00
5.00,4.00,10.00,242.00,4.00,4.00,5.00,,4.50
5.00,4.00,10.00,249.00,4.00,6.00,,,6.00
5.00,4.00,10.00,186.00,5.00,0.00,,,0.00
5.00,4.00,10.00,193.00,5.00,1.00,,,1.00
5.00,4.00,10.00,200.00,5.00,1.00,,,1.00
5.00,4.00,10.00,207.00,5.00,1.00,2.00,,1.50
5.00,4.00,10.00,214.00,5.00,1.00,2.00,,1.50
5.00,4.00,10.00,221.00,5.00,2.00,3.00,,2.50
5.00,4.00,10.00,228.00,5.00,3.00,,,3.00
5.00,4.00,10.00,234.00,5.00,3.00,4.00,5.00,4.00
5.00,4.00,10.00,242.00,5.00,5.00,,,5.00
5.00,4.00,10.00,249.00,5.00,5.00,,,5.00
5.00,4.00,10.00,256.00,5.00,5.00,6.00,,5.50
5.00,4.00,10.00,263.00,5.00,5.00,6.00,,5.50
5.00,4.00,10.00,270.00,5.00,6.00, ,,6.00
