Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,128,144,151
AMSP,Amelanchier sp.,Juneberry,1,109,133,139
BEAL,Betula alleghaniensis,Yellow Birch,2,131,145,151
BEPA,Betula papyrifera,Paper birch,2,118,136,141
CACA,Carpinus caroliniana,Musclewood,1,121,149,154
CACO,Carya cordiformis,Yellowbud hickory,2,129,154,160
CAOV,Carya ovata,Shagbark hickory,2,136,154,158
COAL,Cornus alternifolia,Pagoda dogwood,3,122,142,148
CORA,Cornus racemosa,Grey Dogwood,3,121,146,152
COSE,Cornus sericea,Red Osier Dogwood,2,111,145,152
CRSP,Crataegus spp.,Hawthorn,2,127,142,148
DIPA,Dirca palustris,Leatherwood,2,109,141,148
FAAM,Fagus americana,Beech,2,129,139,142
FRAM,Fraxinus americana,White ash,3,135,151,158
FRNI,Fraxinus nigra,Black ash,2,137,155,160
HAVI,Hamamelis virginiana,Witch hazel,1,129,145,151
ILVE,Ilex verticillata,Winterberry,1,136,149,153
LALA,Larix laricina,Tamarack,2,115,133,138
OSVI,Ostrya virginiana,Ironwood,3,121,145,151
POTR,Populus tremuloides,Quaking aspen,2,121,133,138
PRSE,Prunus serotina,Black cherry,3,111,141,148
QURU,Quercus rubra,Red oak,2,125,147,152
TIAM,Tilia americana,Basswood,3,134,149,153
ULAM,Ulmus americana,American elm,1,136,148,153
VILE,Viburnum lentago,Nannyberry,1,109,134,139
VIOP,Viburnum opulus,Highbush cranberry,1,121,148,153
,,,51,,,
