Code,Latin Name,Common Name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,124,144,152
AMSP,Amelanchier sp.,Juneberry,1,118,146,154
BEAL,Betula alleghaniensis,Yellow Birch,2,127,148,154
BEPA,Betula papyrifera,Paper birch,2,121,147,154
CACA,Carpinus caroliniana,Musclewood,1,122,147,154
CACO,Carya cordiformis,Yellowbud hickory,2,122,150,155
CAOV,Carya ovata,Shagbark hickory,2,131,146,152
COAL,Cornus alternifolia,Pagoda dogwood,3,122,145,153
CORA,Cornus racemosa,Grey Dogwood,3,121,150,155
COSE,Cornus sericea,Red Osier Dogwood,2,122,147,154
CRSP,Crataegus spp.,Hawthorn,2,124,146,152
DIPA,Dirca palustris,Leatherwood,2,113,143,150
FAAM,Fagus americana,Beech,2,123,144,154
FRAM,Fraxinus americana,White ash,3,127,147,153
FRNI,Fraxinus nigra,Black ash,2,132,150,156
HAVI,Hamamelis virginiana,Witch hazel,2,129,146,153
ILVE,Ilex verticillata,Winterberry (Died),1,999,999,999
LALA,Larix laricina,Tamarack,2,119,137,151
OSVI,Ostrya virginiana,Ironwood,3,122,146,151
POTR,Populus tremuloides,Quaking aspen,2,119,142,152
PRSE,Prunus serotina,Black cherry,3,118,145,149
QURU,Quercus rubra,Red oak,2,122,142,148
TIAM,Tilia americana,Basswood,3,122,142,148
ULAM,Ulmus americana,American elm,2,126,146,149
VILE,Viburnum lentago,Nannyberry,1,111,144,154
VISP,Viburnum sp.,Maple-leaved Viburnum ,1,126,150,154
,,,53,,,
