Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,132,143,146
AMSP,Amelanchier sp.,Juneberry,1,118,136,139
BEAL,Betula alleghaniensis,Yellow Birch,2,138,149,153
BEPA,Betula papyrifera,Paper birch,2,127,141,145
CACA,Carpinus caroliniana,Musclewood,1,130,151,155
CACO,Carya cordiformis,Yellowbud hickory,2,132,154,159
CAOV,Carya ovata,Shagbark hickory,2,142,153,156
COAL,Cornus alternifolia,Pagoda dogwood,3,124,140,143
CORA,Cornus racemosa,Grey Dogwood,3,125,148,153
COSE,Cornus sericea,Red Osier Dogwood,2,122,145,148
CRSP,Crataegus spp.,Hawthorn,2,131,144,147
DIPA,Dirca palustris,Leatherwood,2,113,139,143
FAAM,Fagus americana,Beech,2,135,143,146
FRAM,Fraxinus americana,White ash,3,137,153,156
FRNI,Fraxinus nigra,Black ash,2,144,155,158
HAVI,Hamamelis virginiana,Witch hazel,2,132,149,153
ILVE,Ilex verticillata,Winterberry,1,136,151,154
LALA,Larix laricina,Tamarack,2,122,135,139
OSVI,Ostrya virginiana,Ironwood,3,124,146,151
POTR,Populus tremuloides,Quaking aspen,2,125,137,140
PRSE,Prunus serotina,Black cherry,3,117,142,147
QURU,Quercus rubra,Red oak,2,130,148,152
TIAM,Tilia americana,Basswood,3,134,148,151
ULAM,Ulmus americana,American elm,2,138,151,154
VILE,Viburnum lentago,Nannyberry,1,113,139,142
VIOP,Viburnum opulus,Highbush cranberry,1,130,145,148
,,,53,,,
