Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,139,149,152
AMSP,Amelanchier sp.,Juneberry,1,128,148,152
BEAL,Betula alleghaniensis,Yellow Birch,2,142,153,156
BEPA,Betula papyrifera,Paper birch,2,132,147,151
CACA,Carpinus caroliniana,Musclewood,1,133,155,159
CACO,Carya cordiformis,Yellowbud hickory,2,135,154,157
CAOV,Carya ovata,Shagbark hickory,2,141,153,156
COAL,Cornus alternifolia,Pagoda dogwood (1 died),1,133,147,150
CORA,Cornus racemosa,Grey Dogwood,3,132,148,151
COSE,Cornus sericea,Red Osier Dogwood,2,130,151,155
CRSP,Crataegus spp.,Hawthorn,2,136,149,152
DIPA,Dirca palustris,Leatherwood,2,116,146,151
FAAM,Fagus americana,Beech,2,138,149,152
FRAM,Fraxinus americana,White ash,3,139,153,156
FRNI,Fraxinus nigra,Black ash,2,142,154,157
HAVI,Hamamelis virginiana,Witch hazel,2,139,150,152
ILVE,Ilex verticillata,Winterberry,1,141,155,157
LALA,Larix laricina,Tamarack,2,127,144,149
OSVI,Ostrya virginiana,Ironwood,3,132,148,152
POTR,Populus tremuloides,Quaking aspen,2,133,147,150
PRSE,Prunus serotina,Black cherry,3,126,148,153
QURU,Quercus rubra,Red oak,2,133,151,155
TIAM,Tilia americana,Basswood,3,140,149,152
ULAM,Ulmus americana,American elm,2,141,150,152
VILE,Viburnum lentago,Nannyberry,1,119,145,150
VIOP,Viburnum opulus,Highbush cranberry,1,138,153,157
,,,51,,,
