Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,142,151,153
AMSP,Amelanchier sp.,Juneberry,1,130,145,148
BEAL,Betula alleghaniensis,Yellow Birch,2,141,151,155
BEPA,Betula papyrifera,Paper birch,2,132,145,147
CACA,Carpinus caroliniana,Musclewood,1,137,152,154
CACO,Carya cordiformis,Yellowbud hickory,2,136,153,155
CAOV,Carya ovata,Shagbark hickory,2,143,151,154
COAL,Cornus alternifolia,Pagoda dogwood,1,130,149,152
CORA,Cornus racemosa,Grey Dogwood,3,130,149,152
COSE,Cornus sericea,Red Osier Dogwood,2,128,149,153
CRSP,Crataegus spp.,Hawthorn,2,134,148,151
DIPA,Dirca palustris,Leatherwood,2,127,145,147
FAAM,Fagus americana,Beech,2,141,149,152
FRAM,Fraxinus americana,White ash,3,145,153,155
FRNI,Fraxinus nigra,Black ash,2,145,155,158
HAVI,Hamamelis virginiana,Witch hazel,2,141,151,153
ILVE,Ilex verticillata,Winterberry,1,143,154,156
LALA,Larix laricina,Tamarack,2,128,141,146
OSVI,Ostrya virginiana,Ironwood,3,133,149,152
POTR,Populus tremuloides,Quaking aspen,2,135,145,148
PRSE,Prunus serotina,Black cherry,3,128,147,150
QURU,Quercus rubra,Red oak,2,136,150,153
TIAM,Tilia americana,Basswood,3,141,149,152
ULAM,Ulmus americana,American elm,2,142,150,153
VILE,Viburnum lentago,Nannyberry,1,129,144,147
VIOP,Viburnum opulus,Highbush cranberry,1,135,149,153
,,,51,,,
