Plot,Tree,Plot,Tree,Species,1st bud break,>= 3 buds,1st leaf unfolded,>= 3 leaves,full leaf,dead?,Comment
,plot,loc.,ID,,, broken,,unfolded,expansion,,
1,N,1,1,B. lenta  ,95,95,106,106,120,no,
1,N,2,419,Q. rubra  ,.,.,.,.,.,yes,
1,N,4,145,A. rubrum ,99,111,116,123,127,no,
1,W,1,2,B. lenta  ,120,120,120,125,125,no,bottom sprout; 1st bud break< 120
1,W,3,146,A. rubrum ,104,120,123,123,130,no,
1,W,4,420,Q. rubra  ,113,113,116,123,127,no,
1,S,1,421,Q. rubra  ,102,104,111,116,123,no,clipped @ 10 cm 159
1,S,2,147,A. rubrum ,.,.,.,.,.,yes,
1,S,4,3,B. lenta  ,95,99,116,120,125,no,
1,E,1,148,A. rubrum ,116,116,123,123,132,no,
1,E,2,422,Q. rubra  ,132,132,132,137,140,no,"btm sprout; eaten by voles 6-8-10; 1st bud break, 3 buds broken<132; 3 buds broken-unsure"
1,E,4,4,B. lenta  ,97,99,111,113,125,no,
2,N,1,149,A. rubrum ,116,116,123,123,137,no,
2,N,3,5,B. lenta  ,95,95,104,106,120,no,
2,N,4,423,Q. rubra  ,102,102,106,111,123,no,3 buds broken-unsure
2,W,1,424,Q. rubra  ,.,.,.,.,.,yes,
2,W,2,150,A. rubrum ,118,118,123,125,144,no,
2,W,3,6,B. lenta  ,97,99,120,125,144,no,bottom sprouts ahead!; 1st leaf unfolded< 120
2,S,2,7,B. lenta  ,.,.,.,.,.,yes,
2,S,4,151,A. rubrum ,104,106,113,113,134,no,
2,S,3,425,Q. rubra  ,102,106,109,111,123,no,
2,E,1,426,Q. rubra  ,111,111,123,123,137,no,dead? Felled by herbivores new sprouts
2,E,2,152,A. rubrum ,120,120,123,123,132,no,3 leaves unfolded-unsure
2,E,4,8,B. lenta  ,123,125,123,123,125,no,1st bud break<123; 3 buds broken<125; 3 leaves unfolded-unsure
3,N,1,427,Q. rubra  ,102,.,113,113,125,no,
3,N,2,9,B. lenta  ,97,99,111,113,134,no,
3,N,4,153,A. rubrum ,97,99,106,113,125,no,
3,W,1,154,A. rubrum ,.,.,.,.,.,yes,tag taken 4-5-10
3,W,2,10,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
3,W,3,428,Q. rubra  ,.,.,.,.,.,yes,tag taken 4-5-10
3,S,1,155,A. rubrum ,.,.,.,.,.,yes,tag taken 4-5-10
3,S,3,11,B. lenta  ,.,.,.,.,.,yes,
3,S,4,429,Q. rubra  ,102,102,111,111,123,no,3 buds broken-unsure
