Plot,"Tree
plot","Plot 
loc.","Tree
ID",Species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,Comment
1,N,1,2119,B. nigra  ,99,99,111,116,137,no,
1,N,2,1156,Q. rubra  ,120,120,123,125,134,no,3 buds broken- unsure;bottom sprout - main stem 60% girdled
1,N,4,1312,A. rubrum ,116,118,123,123,132,no,
1,W,1,1001,B. nigra  ,.,.,.,.,.,yes,
1,W,3,1313,A. rubrum ,97,97,106,106,120,no,
1,W,4,1157,Q. rubra  ,106,.,113,118,140,no,bottom sprout ? Trimmed @ 10cm 159
1,S,1,1158,Q. rubra  ,99,99,106,106,120,no,
1,S,2,1314,A. rubrum ,88,97,97,97,116,no,"3 buds broken, 1st leaf unfolded<97"
1,S,4,1002,B. nigra  ,.,.,.,.,.,yes,
1,E,1,1315,A. rubrum ,116,116,118,118,132,no,
1,E,2,1159,Q. rubra  ,123,123,123,134,137,no,"1st bud break, 3 buds broken <123; 3 buds unbroken - unsure; 3 leaves unfolded - unsure; new sprout clipped @ 10cm, 159"
1,E,4,1003,B. nigra  ,.,.,.,.,.,yes,dead?
2,N,1,1481,A. rubrum ,120,120,123,125,137,no,
2,N,3,1004,B. nigra  ,.,.,.,.,.,yes,dead?
2,N,4,1160,Q. rubra  ,111,118,118,120,123,no,
2,W,1,1161,Q. rubra  ,.,.,.,.,.,yes,
2,W,2,1317,A. rubrum ,104,104,113,120,123,no,3 buds broken- unsure; low sprout; no leaves?
2,W,3,1005,B. nigra  ,.,.,.,.,.,yes,
2,S,2,2105,B. nigra  ,106,106,116,120,144,no,3 buds broken-unsure
2,S,4,1318,A. rubrum ,95,97,97,99,116,no,3 buds broken-unsure;  3 leaves unfolded-unsure; bottom sprout
2,S,3,2166,Q. rubra  ,.,.,.,.,.,yes,
2,E,1,1163,Q. rubra  ,.,.,.,.,.,yes,
2,E,2,1319,A. rubrum ,116,.,116,123,137,no,
2,E,4,1007,B. nigra  ,99,99,99,113,125,no,"(bottom); 1st bud break, 3 buds broken<99"
3,N,1,1164,Q. rubra  ,99,99,102,102,111,no,3 buds broken -unsure
3,N,2,1008,B. nigra  ,99,99,102,106,123,no,
3,N,4,1320,A. rubrum ,109,111,113,116,123,no,
3,W,1,1321,A. rubrum ,109,120,116,120,127,no,
3,W,2,1009,B. nigra  ,95,95,97,99,111,no,
3,W,3,1165,Q. rubra  ,99,99,102,102,111,no,full leaf expansion-unsure
3,S,1,1322,A. rubrum ,99,99,106,111,118,no,3 buds broken-unsure
3,S,3,1010,B. nigra  ,.,.,.,.,.,yes,chewed off by voles <6-8-10
3,S,4,1166,Q. rubra  ,102,102,111,111,118,no,
3,E,1,1323,A. rubrum ,99,99,102,104,123,no,
3,E,2,1167,Q. rubra  ,146,146,146,146,146,no,"clipped to 10 cm, 159; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded < 146"
3,E,3,1011,B. nigra  ,97,99,97,109,125,no,near ground; 1st bud break < 97
4,N,2,1324,A. rubrum ,111,111,116,116,123,no,3 buds broken-unsure;  3 leaves unfolded-unsure
4,N,3,1168,Q. rubra  ,.,.,.,.,.,yes,
4,N,4,1012,B. nigra  ,95,95,97,97,111,no,
4,W,1,1169,Q. rubra  ,.,.,.,.,.,yes,
4,W,3,1325,A. rubrum ,.,.,.,.,.,yes,
4,W,4,1013,B. nigra  ,.,.,.,.,.,yes,
4,S,1,1326,A. rubrum ,.,.,.,.,.,yes,
4,S,2,1014,B. nigra  ,.,.,.,.,.,yes,eat from below 6-8-10; tag and tree taken
4,S,3,1315,Q. rubra  ,.,.,.,.,.,yes,eat from below 6-8-10; tag and tree taken
4,E,1,1171,Q. rubra  ,99,99,102,102,111,no,3 buds broken - unsure
4,E,2,1327,A. rubrum ,97,97,102,104,113,no,top dead?
4,E,3,1015,B. nigra  ,95,95,97,97,111,no,
5,N,1,1328,A. rubrum ,111,111,123,125,127,no,3 buds broken-unsure
5,N,2,1173,Q. rubra  ,116,116,116,120,.,yes,? Dead 134; 3 buds broken-unsure
5,N,3,1016,B. nigra  ,95,97,97,102,118,no,at bottom
5,W,1,1172,Q. rubra  ,104,104,111,111,123,no,3 buds broken-unsure
5,W,2,1329,A. rubrum ,.,.,.,.,.,yes,eaten from below
5,W,3,1017,B. nigra  ,95,95,97,99,116,no,
5,S,2,2183,Q. rubra  ,.,.,.,.,.,yes,
5,S,3,1330,A. rubrum ,118,120,123,123,134,no,
5,S,4,1018,B. nigra  ,.,.,.,.,.,yes,
5,E,1,1175,Q. rubra  ,102,102,111,111,123,no,
5,E,3,2106,B. nigra  ,95,95,95,97,116,no,top broken off after chewing; top cut during biomass harvest 6-8-10
5,E,4,1331,A. rubrum ,123,123,123,125,144,no,
6,N,1,2144,B. nigra  ,95,95,99,102,123,no,"full leaf expansion - eaten, hard to tell"
6,N,2,1332,A. rubrum ,109,109,111,113,123,no,3 buds broken-unsure
6,N,3,1176,Q. rubra  ,.,.,.,.,.,yes,
6,W,1,1021,B. nigra  ,95,95,99,102,116,no,
6,W,2,1177,Q. rubra  ,102,.,111,111,123,no,
