Plot,"Tree
plot","Plot 
loc.","Tree
ID",Species,"1st bud 
bolted","all buds 
bolted",1st green,"all 
green","1st needle 
bundle",all needle bundles,"1st young 
needles","all young
needles",Comment
1,N,3,275,P. strobus,109,111,97,102,127,132,154,158,
1,W,2,276,P. strobus,111,111,102,120,130,137,154,158,
1,S,3,277,P. strobus,113,113,100,109,125,127,154,158,
1,E,3,278,P. strobus,111,111,97,116,125,132,154,165,
2,N,2,279,P. strobus,111,111,95,104,132,137,154,158,
2,W,4,280,P. strobus,97,111,100,118,127,130,148,158,
2,S,1,281,P. strobus,.,.,.,.,.,.,.,.,dead (dried) tag taken 4-5
2,E,3,282,P. strobus,111,111,100,116,130,137,152,158,
3,N,3,283,P. strobus,116,116,97,104,123,146,154,187,buds look dried up
3,W,4,284,P. strobus,.,.,.,.,.,.,.,.,dead (dried) tag taken 4-5
3,S,2,285,P. strobus,.,.,.,.,.,.,.,.,dead (dried) tag taken 4-5
3,E,4,286,P. strobus,111,111,97,104,123,137,172,193,deformed needles
4,N,1,287,P. strobus,111,111,95,102,104,125,154,172,
4,W,2,288,P. strobus,111,111,95,100,113,123,148,148,1st done!
4,S,4,289,P. strobus,111,.,95,100,125,132,175,.,top chewed off; drying 180; dried 189
4,E,4,290,P. strobus,111,111,95,104,132,137,.,.,drying 180; dried 189
5,N,4,291,P. strobus,.,.,.,.,.,.,.,.,dead (dried) tag taken 4-5
5,W,4,292,P. strobus,111,127,109,116,121,130,152,189,fungal infection (top
5,S,1,293,P. strobus,95,111,97,102,123,125,152,154,bolting only a little
5,E,2,294,P. strobus,111,111,95,102,121,125,148,152,
6,N,4,295,P. strobus,111,113,106,123,132,140,158,175,
6,W,3,296,P. strobus,.,.,102,113,140,152,172,183,fungal infection (top); all needle bundles-unsure
6,S,1,297,P. strobus,97,113,113,123,130,140,158,175,1st bud bolted-unsure
6,E,4,298,P. strobus,113,113,113,116,140,146,168,182,
7,N,4,299,P. strobus,109,111,95,123,125,134,148,158,
7,W,3,300,P. strobus,111,111,100,113,123,134,148,154,
7,S,4,301,P. strobus,111,111,106,123,130,134,152,165,
7,E,4,302,P. strobus,111,111,97,118,127,134,148,154,
8,N,3,303,P. strobus,109,111,102,125,132,140,154,175,fungal infection
8,W,4,304,P. strobus,109,111,102,132,127,140,152,175,
8,S,4,305,P. strobus,111,111,102,125,127,134,148,158,
8,E,4,306,P. strobus,109,111,102,127,127,144,148,172,
9,N,2,307,P. strobus,.,.,.,.,.,.,.,.,eaten from below (3-22-10)
9,W,4,308,P. strobus,88,109,95,116,121,125,148,152,
9,S,1,309,P. strobus,88,111,106,127,123,130,148,154,
9,E,3,310,P. strobus,88,109,97,118,123,125,148,152,fungal infection
10,N,2,311,P. strobus,88,109,102,121,121,130,148,154,
10,W,3,312,P. strobus,88,111,102,123,125,134,148,158,top (1) bolting
