1994 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,,,,,,,,,
LATHYRUS LEUCANTHUS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PLOT,#,SPE,  DIST,06/13/94,COMMENT,06/20/94,COMMENT,06/27/94,COMMENT,07/03/94,COMMENT,07/11/94,COMMENT,07/18/94,COMMENT,07/25/94,comment,08/01/94,comment,08/08/94,comments
1,1,LL,1.6,1,,1,,1,,1,,,"eaten, 0/2",,,,,,,,
1,2,LL,2.6,1,,1,,1,,1,,,"frozen, 0/1",,,,,,,,
1,3,LL,3.7,12,,12,,3,,2,new plant. same coord,,"frozen,0/2",,,,,,,,
1,4,LL,6.3,1,,1,,1,,23,,5,,,frozen 0/2,,,,,,
1,5,LL,7.3,1,,1,,1,,3,,4,,,frozen 0/2,,,,,,
2,1,LL,2,1,,1,,1,,1,,,"frozen, 0/1",,,,,,,,
2,2,LL,2.9,1,,1,,2,,4,,,"frozen, 0/1",,,,,,,,
2,3,LL,4.1,1,,12,,3,,5,"new, same coord",5,,,frozen 0/2,,,,,,
2,4,LL,6.6,1,,1,,1,,1,,,"frozen, 0/2",,,,,,,,
2,5,LL,7.7,1,,1,,2,,4,,,"frozen, 0/4",,,,,,,,
3,1,LL,1.2,1,,12,,123,,4,,,"frozen, 0/4",,,,,,,,
3,2,LL,2.1,1,,1,,12,,1,,,"frozen, 0/2",,,,,,,,
3,3,LL,3.2,1,,12,,123,,,froze 0/3,,,,,,,,,,
3,4,LL,4.8,1,,1,,3,,,froze 0/2,,,,,,,,,,
3,5,LL,6.7,1,,1,,1,,123,,45,,5,1/7,5,,5,,5,1/6
4,1,LL,1,1,,1,,3,new plant (0.9),,0/1 froze,,,,,,,,,,
4,2,LL,2.1,1,,1,,1,,23,,,"frozen, 0/3",,,,,,,,
4,3,LL,3.2,1,,1,,1,,,0/1 froze,,,,,,,,,,
4,4,LL,4.4,1,,1,,12,,45,,5,,5,3/6,5,,,frozen,,
4,5,LL,7.1,1,,1,,12,,,0/2 froze,,,,,,,,,,
5,1,LL,1.3,1,,12,,3,,,0/1 froze,,,,,,,,,,
5,2,LL,3.3,1,,1,,12,,123,,3,,,frozen 0/8,,,,,,
5,3,LL,3.9,1,,1,,12,,,0/2 froze,,,,,,,,,,
5,4,LL,4.9,1,,1,,23,new plant (4.9),34,,4,,,frozen 0/6,,,,,,
5,5,LL,5.6,1,,1,,12,,23,,4,,,frozen 0/3,,,,,,
6,1,LL,1.2,1,,1,,1,,,0/1 froze,,,,,,,,,,
6,2,LL,3.4,12,,123,,234,,34,,4,,,frozen 0/4,,,,,,
6,3,LL,4.1,12,,123,,2345,,,0/1 froze,,,,,,,,,,
6,4,LL,5,1,,1,,2,new plant (5.0),,0/2 froze,,,,,,,,,,
6,5,LL,6.4,1,,1,,2,,5,,,"frozen, 0/2",,,,,,,,
7,1,LL,1.3,1,,12,,23,,,0/2 pulled,,,,,,,,,,
7,2,LL,3.1,1,,1,,23,,23,,45,,5,1/4,5,,,,,
7,3,LL,5,1,,123,,34,,,0/2 pulled,,,,,,,,,,
7,4,LL,6.4,1,,12,,13,,12,,34,,,missing,,,,,,
7,5,LL,7.8,2,,1,,1,,4,,,"frozen, 0/2",,,,,,,,
8,1,LL,1.5,1,,12,,3,,,clip,,0/1,,,,,,,,
8,2,LL,2.9,1,,2,,3,,,clip,,0/1,,,,,,,,
8,3,LL,5.1,123,,23,,3,new plant(4.9),,clip,,0/2,,,,,,,,
8,4,LL,6.4,12,,12,,1234,,45,,5,,5,1/4,5,,5,,5,0/3
8,5,LL,7.7,1,,123,,3,,4,,4,,,frozen 0/5,,,,,,
9,1,LL,1,1,,12,,23,,4,,,0/3,,,,,,,,
9,2,LL,2.7,12,,123,,23,,3,,,0/3,,,,,,,,
9,3,LL,5.5,1,,13,,3,,3,clip,,0/2,,,,,,,,
9,4,LL,6.5,1,,12,,1234,,245,,34,"frozen, 0/4",,,,,,,,
9,5,LL,7.3,1,,1,,1,,,clip,,0/1,,,,,,,,
10,1,LL,1.5,1,,23,,3,,2,clip,4,,,dead 0/2,,,,,,
10,2,LL,3.2,123,,123,,3,,2,clip,,0/3,,,,,,,,
10,3,LL,5.8,1,,123,,345,,?,"clip, 0/4",,0/4,,,,,,,,
10,4,LL,6.6,12,,25,,4,,5,,5,"frozen, 0/2",,,,,,,,
10,5,LL,7.7,1,,2,,4,,5,,,0/2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PLOT,,,,,,,,,,,,,,,,,,,,,
